FDS,Date
3.519282341003418,1996-06-28
3.541275978088379,1996-07-01
3.6072652339935303,1996-07-02
3.5632741451263428,1996-07-03
3.4972870349884033,1996-07-05
3.2773330211639404,1996-07-08
3.255336284637451,1996-07-09
3.1233632564544678,1996-07-10
3.0353803634643555,1996-07-11
3.0573766231536865,1996-07-12
3.0353803634643555,1996-07-15
2.7714345455169678,1996-07-16
3.0133872032165527,1996-07-17
3.0133872032165527,1996-07-18
3.0353803634643555,1996-07-19
3.0793731212615967,1996-07-22
2.9913907051086426,1996-07-23
3.0133872032165527,1996-07-24
3.0573766231536865,1996-07-25
3.0793731212615967,1996-07-26
3.211346387863159,1996-07-29
3.3433187007904053,1996-07-30
3.519282341003418,1996-07-31
3.4532973766326904,1996-08-01
3.4093055725097656,1996-08-02
3.4752917289733887,1996-08-05
3.4532973766326904,1996-08-06
3.255336284637451,1996-08-07
3.2333412170410156,1996-08-08
3.3653154373168945,1996-08-09
3.3873097896575928,1996-08-12
3.3433187007904053,1996-08-13
3.3873097896575928,1996-08-14
3.431300401687622,1996-08-15
3.4752917289733887,1996-08-16
3.4093055725097656,1996-08-19
3.431300401687622,1996-08-20
3.431300401687622,1996-08-21
3.431300401687622,1996-08-22
3.4093055725097656,1996-08-23
3.4093055725097656,1996-08-26
3.431300401687622,1996-08-27
3.5852696895599365,1996-08-28
3.4972870349884033,1996-08-29
3.5632741451263428,1996-08-30
3.4752917289733887,1996-09-03
3.431300401687622,1996-09-04
3.519282341003418,1996-09-05
3.519282341003418,1996-09-06
3.519282341003418,1996-09-09
3.519282341003418,1996-09-10
3.4752917289733887,1996-09-11
3.4532973766326904,1996-09-12
3.4532973766326904,1996-09-13
3.4532973766326904,1996-09-16
3.4532973766326904,1996-09-17
3.4752917289733887,1996-09-18
3.431300401687622,1996-09-19
3.431300401687622,1996-09-20
3.519282341003418,1996-09-23
3.4752917289733887,1996-09-24
3.4752917289733887,1996-09-25
3.431300401687622,1996-09-26
3.3873097896575928,1996-09-27
3.3653154373168945,1996-09-30
3.3653154373168945,1996-10-01
3.431300401687622,1996-10-02
3.519282341003418,1996-10-03
3.6072652339935303,1996-10-04
3.6952474117279053,1996-10-07
3.4972870349884033,1996-10-08
3.541275978088379,1996-10-09
3.6072652339935303,1996-10-10
3.6072652339935303,1996-10-11
3.5852696895599365,1996-10-14
3.6072652339935303,1996-10-15
3.6072652339935303,1996-10-16
3.6292591094970703,1996-10-17
3.827218770980835,1996-10-18
4.003185272216797,1996-10-21
4.025179862976074,1996-10-22
4.047175407409668,1996-10-23
4.091164588928223,1996-10-24
4.135157108306885,1996-10-25
4.135157108306885,1996-10-28
4.135157108306885,1996-10-29
4.157153606414795,1996-10-30
4.223138809204102,1996-10-31
4.223138809204102,1996-11-01
4.223138809204102,1996-11-04
