Date,CERN
2003-01-02,4.0063
2003-01-03,4.315
2003-01-06,4.5588
2003-01-07,4.8063
2003-01-08,4.5563
2003-01-09,4.6775
2003-01-10,4.7325
2003-01-13,4.57
2003-01-14,4.6063
2003-01-15,4.4575
2003-01-16,4.5
2003-01-17,4.3688
2003-01-21,4.3575
2003-01-22,4.4513
2003-01-23,4.5413
2003-01-24,4.6638
2003-01-27,4.4925
2003-01-28,4.575
2003-01-29,4.5988
2003-01-30,4.655
2003-01-31,4.6088
2003-02-03,4.6125
2003-02-04,4.575
2003-02-05,4.4575
2003-02-06,4.4713
2003-02-07,4.3888
2003-02-10,4.3688
2003-02-11,4.3788
2003-02-12,4.2263
2003-02-13,4.1988
2003-02-14,4.225
2003-02-18,4.3038
2003-02-19,4.2788
2003-02-20,4.275
2003-02-21,4.3213
2003-02-24,4.2
2003-02-25,4.16
2003-02-26,4.11
2003-02-27,4.135
2003-02-28,4.1525
2003-03-03,4.1163
2003-03-04,4.0088
2003-03-05,3.9638
2003-03-06,4.0325
2003-03-07,3.9763
2003-03-10,4.085
2003-03-11,4.0563
2003-03-12,4.0113
2003-03-13,4.1213
2003-03-14,4.1288
2003-03-17,4.2688
2003-03-18,4.3238
2003-03-19,4.2413
2003-03-20,4.1188
2003-03-21,4.3175
2003-03-24,4.1213
2003-03-25,4.2238
2003-03-26,4.1838
2003-03-27,4.1538
2003-03-28,4.1013
2003-03-31,4.0475
2003-04-01,3.7563
2003-04-02,4.0113
2003-04-03,2.2037
2003-04-04,2.28
2003-04-07,2.1938
2003-04-08,2.0625
2003-04-09,2.15
2003-04-10,2.1238
2003-04-11,2.1375
2003-04-14,2.1888
2003-04-15,2.1363
2003-04-16,2.0963
2003-04-17,2.2988
2003-04-21,2.25
2003-04-22,2.2888
2003-04-23,2.3138
2003-04-24,2.3488
2003-04-25,2.34
2003-04-28,2.3788
2003-04-29,2.485
2003-04-30,2.4975
2003-05-01,2.5413
2003-05-02,2.6363
2003-05-05,2.6863
2003-05-06,2.7563
2003-05-07,2.7375
2003-05-08,2.6563
2003-05-09,2.6188
2003-05-12,2.6638
2003-05-13,2.6225
2003-05-14,2.625
2003-05-15,2.6363
2003-05-16,2.6238
2003-05-19,2.5138
2003-05-20,2.4825
2003-05-21,2.4875
2003-05-22,2.4688
2003-05-23,2.47
2003-05-27,2.5125
2003-05-28,2.485
2003-05-29,2.5725
2003-05-30,2.6388
2003-06-02,2.5988
2003-06-03,2.605
2003-06-04,2.6625
2003-06-05,2.705
2003-06-06,2.6875
2003-06-09,2.59
2003-06-10,2.6488
2003-06-11,2.7563
2003-06-12,2.8238
2003-06-13,2.8938
2003-06-16,2.9763
2003-06-17,3.1938
2003-06-18,3.1138
2003-06-19,2.905
2003-06-20,2.9375
2003-06-23,2.9
2003-06-24,2.9288
2003-06-25,2.8888
2003-06-26,2.9063
2003-06-27,2.9075
2003-06-30,2.85
2003-07-01,2.7225
2003-07-02,2.51
2003-07-03,2.55
2003-07-07,2.6563
2003-07-08,2.7463
2003-07-09,2.76
2003-07-10,2.7263
2003-07-11,2.7875
2003-07-14,2.97
2003-07-15,2.96
2003-07-16,2.8863
2003-07-17,3.6638
2003-07-18,3.775
2003-07-21,3.725
2003-07-22,3.6838
2003-07-23,3.7113
2003-07-24,3.705
2003-07-25,3.7488
2003-07-28,3.85
2003-07-29,3.8788
2003-07-30,3.9625
2003-07-31,3.9563
2003-08-01,3.8688
2003-08-04,3.8325
2003-08-05,3.7475
2003-08-06,3.68
2003-08-07,3.715
2003-08-08,3.665
2003-08-11,3.6625
2003-08-12,3.7038
2003-08-13,3.8625
2003-08-14,3.9738
2003-08-15,3.965
2003-08-18,4.1025
2003-08-19,4.115
2003-08-20,4.065
2003-08-21,4.1713
2003-08-22,4.2288
2003-08-25,4.2338
2003-08-26,4.1675
2003-08-27,4.3188
2003-08-28,4.4238
2003-08-29,4.4138
2003-09-02,4.575
2003-09-03,4.55
2003-09-04,4.51
2003-09-05,4.525
2003-09-08,4.5625
2003-09-09,4.5625
2003-09-10,4.5188
2003-09-11,4.35
2003-09-12,4.3762
2003-09-15,4.3938
2003-09-16,4.5038
2003-09-17,4.5963
2003-09-18,4.6625
2003-09-19,4.6938
2003-09-22,4.5775
2003-09-23,4.6675
2003-09-24,4.3525
2003-09-25,3.9925
2003-09-26,3.9275
2003-09-29,3.9938
2003-09-30,3.8588
2003-10-01,3.875
2003-10-02,4.0313
2003-10-03,4.4338
2003-10-06,4.3675
2003-10-07,4.455
2003-10-08,4.3275
2003-10-09,4.3725
2003-10-10,4.375
2003-10-13,4.3813
2003-10-14,4.435
2003-10-15,4.5
2003-10-16,4.535
2003-10-17,4.525
2003-10-20,4.7375
2003-10-21,4.9513
2003-10-22,4.9288
2003-10-23,5.0
2003-10-24,4.9888
2003-10-27,5.0863
2003-10-28,5.27
2003-10-29,5.4225
2003-10-30,5.3113
2003-10-31,5.2963
2003-11-03,5.3863
2003-11-04,5.3938
2003-11-05,5.3588
2003-11-06,5.445
2003-11-07,5.4938
2003-11-10,5.3063
2003-11-11,5.2363
2003-11-12,5.6225
2003-11-13,5.765
2003-11-14,5.4063
2003-11-17,5.1875
2003-11-18,5.1925
2003-11-19,5.2125
2003-11-20,5.1975
2003-11-21,5.2638
2003-11-24,5.4675
2003-11-25,5.5525
2003-11-26,5.6275
2003-11-28,5.5788
2003-12-01,5.6988
2003-12-02,5.3813
2003-12-03,5.275
