JBHT,Date
1.0870661735534668,1983-11-22
1.1017557382583618,1983-11-23
1.1458262205123901,1983-11-25
1.072375774383545,1983-11-28
1.1017557382583618,1983-11-29
1.1017557382583618,1983-11-30
1.1017557382583618,1983-12-01
1.0870661735534668,1983-12-02
1.072375774383545,1983-12-05
1.0576854944229126,1983-12-06
1.0576854944229126,1983-12-07
1.072375774383545,1983-12-08
1.072375774383545,1983-12-09
1.072375774383545,1983-12-12
1.0870661735534668,1983-12-13
1.0870661735534668,1983-12-14
1.0870661735534668,1983-12-15
1.0870661735534668,1983-12-16
1.0870661735534668,1983-12-19
1.1017557382583618,1983-12-20
1.1017557382583618,1983-12-21
1.1017557382583618,1983-12-22
1.1164460182189941,1983-12-23
1.1311358213424683,1983-12-27
1.1311358213424683,1983-12-28
1.1017557382583618,1983-12-29
1.1164460182189941,1983-12-30
1.1311358213424683,1984-01-03
1.1164460182189941,1984-01-04
1.1311358213424683,1984-01-05
1.1752064228057861,1984-01-06
1.160515308380127,1984-01-09
1.1752064228057861,1984-01-10
1.1752064228057861,1984-01-11
1.1752064228057861,1984-01-12
1.1752064228057861,1984-01-13
1.1898956298828125,1984-01-16
1.2339664697647095,1984-01-17
1.2486562728881836,1984-01-18
1.2486562728881836,1984-01-19
1.2486562728881836,1984-01-20
1.2486562728881836,1984-01-23
1.204586148262024,1984-01-24
1.204586148262024,1984-01-25
1.204586148262024,1984-01-26
1.1752064228057861,1984-01-27
1.1017557382583618,1984-01-30
1.0870661735534668,1984-01-31
1.0870661735534668,1984-02-01
1.0870661735534668,1984-02-02
1.0870661735534668,1984-02-03
1.0870661735534668,1984-02-06
1.0429952144622803,1984-02-07
1.0429952144622803,1984-02-08
1.0429952144622803,1984-02-09
1.0576854944229126,1984-02-10
1.0429952144622803,1984-02-13
1.0429952144622803,1984-02-14
1.0429952144622803,1984-02-15
1.0576854944229126,1984-02-16
1.072375774383545,1984-02-17
1.0576854944229126,1984-02-21
1.0576854944229126,1984-02-22
1.0576854944229126,1984-02-23
1.0576854944229126,1984-02-24
1.0576854944229126,1984-02-27
1.0576854944229126,1984-02-28
1.0576854944229126,1984-02-29
1.0576854944229126,1984-03-01
1.0576854944229126,1984-03-02
1.0576854944229126,1984-03-05
1.0283048152923584,1984-03-06
1.0136154890060425,1984-03-07
1.0136154890060425,1984-03-08
1.0136154890060425,1984-03-09
1.0136154890060425,1984-03-12
1.0283048152923584,1984-03-13
1.0283048152923584,1984-03-14
1.0283048152923584,1984-03-15
1.0283048152923584,1984-03-16
1.0136154890060425,1984-03-19
1.0136154890060425,1984-03-20
1.0136154890060425,1984-03-21
1.0136154890060425,1984-03-22
1.0136154890060425,1984-03-23
0.9989253282546997,1984-03-26
1.0136154890060425,1984-03-27
1.0136154890060425,1984-03-28
1.0136154890060425,1984-03-29
1.0136154890060425,1984-03-30
1.0136154890060425,1984-04-02
1.0136154890060425,1984-04-03
1.0136154890060425,1984-04-04
1.0136154890060425,1984-04-05
1.0136154890060425,1984-04-06
1.0136154890060425,1984-04-09
1.0136154890060425,1984-04-10
0.9989253282546997,1984-04-11
0.9989253282546997,1984-04-12
0.9989253282546997,1984-04-13
0.9989253282546997,1984-04-16
1.0136154890060425,1984-04-17
0.9989253282546997,1984-04-18
0.9989253282546997,1984-04-19
0.9989253282546997,1984-04-23
1.0136154890060425,1984-04-24
1.0283048152923584,1984-04-25
1.0576854944229126,1984-04-26
1.0576854944229126,1984-04-27
1.0576854944229126,1984-04-30
1.0576854944229126,1984-05-01
1.0576854944229126,1984-05-02
1.0576854944229126,1984-05-03
1.0576854944229126,1984-05-04
1.0576854944229126,1984-05-07
1.0429952144622803,1984-05-08
1.0576854944229126,1984-05-09
1.0576854944229126,1984-05-10
1.0576854944229126,1984-05-11
1.0576854944229126,1984-05-14
1.0429952144622803,1984-05-15
1.0576854944229126,1984-05-16
1.0429952144622803,1984-05-17
1.0429952144622803,1984-05-18
1.0429952144622803,1984-05-21
1.0429952144622803,1984-05-22
1.0429952144622803,1984-05-23
1.0429952144622803,1984-05-24
1.0283048152923584,1984-05-25
1.0136154890060425,1984-05-29
1.0136154890060425,1984-05-30
1.0136154890060425,1984-05-31
1.0136154890060425,1984-06-01
1.0136154890060425,1984-06-04
1.0136154890060425,1984-06-05
1.0136154890060425,1984-06-06
1.0136154890060425,1984-06-07
1.0136154890060425,1984-06-08
1.0136154890060425,1984-06-11
1.0136154890060425,1984-06-12
1.0136154890060425,1984-06-13
0.9989253282546997,1984-06-14
0.9989253282546997,1984-06-15
0.9989253282546997,1984-06-18
0.9989253282546997,1984-06-19
0.9989253282546997,1984-06-20
0.9989253282546997,1984-06-21
0.9842347502708435,1984-06-22
0.9842347502708435,1984-06-25
0.9989253282546997,1984-06-26
0.9989253282546997,1984-06-27
0.9842347502708435,1984-06-28
0.9989253282546997,1984-06-29
0.9989253282546997,1984-07-02
0.9989253282546997,1984-07-03
0.9989253282546997,1984-07-05
0.9989253282546997,1984-07-06
0.9989253282546997,1984-07-09
0.9989253282546997,1984-07-10
0.9989253282546997,1984-07-11
0.9989253282546997,1984-07-12
0.9989253282546997,1984-07-13
1.0576854944229126,1984-07-16
1.0576854944229126,1984-07-17
1.0576854944229126,1984-07-18
1.0576854944229126,1984-07-19
0.9989253282546997,1984-07-20
0.9989253282546997,1984-07-23
0.9989253282546997,1984-07-24
0.9989253282546997,1984-07-25
0.9768902659416199,1984-07-26
1.0062700510025024,1984-07-27
1.0283048152923584,1984-07-30
1.0283048152923584,1984-07-31
0.9989253282546997,1984-08-01
0.9842347502708435,1984-08-02
1.0283048152923584,1984-08-03
0.9989253282546997,1984-08-06
1.0429952144622803,1984-08-07
1.0576854944229126,1984-08-08
1.0429952144622803,1984-08-09
1.0870661735534668,1984-08-10
1.079720377922058,1984-08-13
1.072375774383545,1984-08-14
1.1164460182189941,1984-08-15
1.0870661735534668,1984-08-16
1.072375774383545,1984-08-17
1.1164460182189941,1984-08-20
1.072375774383545,1984-08-21
1.1164460182189941,1984-08-22
1.1164460182189941,1984-08-23
1.0870661735534668,1984-08-24
1.1311358213424683,1984-08-27
1.1311358213424683,1984-08-28
1.1311358213424683,1984-08-29
1.0870661735534668,1984-08-30
1.1091006994247437,1984-08-31
1.0870661735534668,1984-09-04
1.1017557382583618,1984-09-05
1.1017557382583618,1984-09-06
1.0870661735534668,1984-09-07
1.1091006994247437,1984-09-10
1.1091006994247437,1984-09-11
1.1311358213424683,1984-09-12
1.0870661735534668,1984-09-13
1.1164460182189941,1984-09-14
1.1384801864624023,1984-09-17
1.2192763090133667,1984-09-18
1.2339664697647095,1984-09-19
1.1752064228057861,1984-09-20
1.1825507879257202,1984-09-21
1.2192763090133667,1984-09-24
1.1898956298828125,1984-09-25
1.1898956298828125,1984-09-26
1.1898956298828125,1984-09-27
1.1752064228057861,1984-09-28
1.1017557382583618,1984-10-01
1.160515308380127,1984-10-02
1.1017557382583618,1984-10-03
1.1017557382583618,1984-10-04
1.1017557382583618,1984-10-05
1.1017557382583618,1984-10-08
1.1164460182189941,1984-10-09
1.1164460182189941,1984-10-10
1.1017557382583618,1984-10-11
1.072375774383545,1984-10-12
1.1311358213424683,1984-10-15
1.1311358213424683,1984-10-16
1.1458262205123901,1984-10-17
1.1458262205123901,1984-10-18
1.1531708240509033,1984-10-19
1.1531708240509033,1984-10-22
1.1898956298828125,1984-10-23
1.1458262205123901,1984-10-24
1.1458262205123901,1984-10-25
1.1458262205123901,1984-10-26
1.1898956298828125,1984-10-29
1.204586148262024,1984-10-30
1.1752064228057861,1984-10-31
1.204586148262024,1984-11-01
1.160515308380127,1984-11-02
1.204586148262024,1984-11-05
1.160515308380127,1984-11-06
1.204586148262024,1984-11-07
1.160515308380127,1984-11-08
1.2192763090133667,1984-11-09
1.1825507879257202,1984-11-12
1.1825507879257202,1984-11-13
1.1825507879257202,1984-11-14
1.2192763090133667,1984-11-15
1.2192763090133667,1984-11-16
1.204586148262024,1984-11-19
1.1898956298828125,1984-11-20
1.1752064228057861,1984-11-21
1.204586148262024,1984-11-23
1.1898956298828125,1984-11-26
1.204586148262024,1984-11-27
1.1752064228057861,1984-11-28
1.1752064228057861,1984-11-29
1.1752064228057861,1984-11-30
1.1752064228057861,1984-12-03
1.1898956298828125,1984-12-04
1.1752064228057861,1984-12-05
1.1752064228057861,1984-12-06
1.1752064228057861,1984-12-07
1.1898956298828125,1984-12-10
1.1898956298828125,1984-12-11
1.1898956298828125,1984-12-12
1.1898956298828125,1984-12-13
1.1898956298828125,1984-12-14
1.1752064228057861,1984-12-17
1.1898956298828125,1984-12-18
1.204586148262024,1984-12-19
1.204586148262024,1984-12-20
1.1898956298828125,1984-12-21
1.1752064228057861,1984-12-24
1.1752064228057861,1984-12-26
1.204586148262024,1984-12-27
1.1752064228057861,1984-12-28
1.1898956298828125,1984-12-31
1.204586148262024,1985-01-02
1.204586148262024,1985-01-03
1.204586148262024,1985-01-04
1.1752064228057861,1985-01-07
1.1898956298828125,1985-01-08
1.2192763090133667,1985-01-09
1.1898956298828125,1985-01-10
1.2339664697647095,1985-01-11
1.204586148262024,1985-01-14
1.2119306325912476,1985-01-15
1.2339664697647095,1985-01-16
1.2339664697647095,1985-01-17
1.2486562728881836,1985-01-18
1.2780364751815796,1985-01-21
1.307417631149292,1985-01-22
1.3955577611923218,1985-01-23
1.4983878135681152,1985-01-24
1.5277684926986694,1985-01-25
1.4836983680725098,1985-01-28
1.4690074920654297,1985-01-29
1.4983878135681152,1985-01-30
1.4983878135681152,1985-01-31
1.4396272897720337,1985-02-01
