Date,ABC
2003-01-02,14.4075
2003-01-03,14.625
2003-01-06,14.8
2003-01-07,14.42
2003-01-08,13.8925
2003-01-09,13.715
2003-01-10,13.56
2003-01-13,13.78
2003-01-14,13.6525
2003-01-15,13.5375
2003-01-16,13.6175
2003-01-17,13.565
2003-01-21,13.4375
2003-01-22,13.645
2003-01-23,13.6
2003-01-24,13.8375
2003-01-27,13.8275
2003-01-28,14.23
2003-01-29,14.5875
2003-01-30,14.35
2003-01-31,14.55
2003-02-03,14.375
2003-02-04,14.375
2003-02-05,14.5425
2003-02-06,14.435
2003-02-07,14.145
2003-02-10,14.245
2003-02-11,14.1975
2003-02-12,13.7
2003-02-13,13.4475
2003-02-14,13.2475
2003-02-18,13.5725
2003-02-19,13.5925
2003-02-20,13.75
2003-02-21,13.9525
2003-02-24,13.73
2003-02-25,13.9675
2003-02-26,13.8625
2003-02-27,13.8375
2003-02-28,13.75
2003-03-03,13.5175
2003-03-04,13.29
2003-03-05,13.38
2003-03-06,13.275
2003-03-07,13.1325
2003-03-10,12.755
2003-03-11,12.785
2003-03-12,12.175
2003-03-13,12.02
2003-03-14,11.69
2003-03-17,12.5
2003-03-18,12.8075
2003-03-19,13.075
2003-03-20,12.9725
2003-03-21,13.1225
2003-03-24,12.7525
2003-03-25,13.3475
2003-03-26,13.0125
2003-03-27,13.1375
2003-03-28,13.345
2003-03-31,13.125
2003-04-01,13.1825
2003-04-02,13.4975
2003-04-03,13.545
2003-04-04,13.455
2003-04-07,13.4125
2003-04-08,13.17
2003-04-09,12.7925
2003-04-10,12.9625
2003-04-11,13.0025
2003-04-14,13.155
2003-04-15,13.29
2003-04-16,13.0275
2003-04-17,13.0
2003-04-21,12.7
2003-04-22,12.9375
2003-04-23,12.57
2003-04-24,13.2825
2003-04-25,13.5
2003-04-28,13.825
2003-04-29,14.1125
2003-04-30,14.4625
2003-05-01,14.1875
2003-05-02,14.3425
2003-05-05,14.435
2003-05-06,14.2975
2003-05-07,14.4025
2003-05-08,14.475
2003-05-09,14.9775
2003-05-12,15.095
2003-05-13,15.2625
2003-05-14,15.2075
2003-05-15,15.1975
2003-05-16,15.3875
2003-05-19,14.77
2003-05-20,14.51
2003-05-21,14.75
2003-05-22,14.815
