Date,WLTW
2003-01-02,22.0
2003-01-03,21.75
2003-01-06,21.96
2003-01-07,21.88
2003-01-08,22.16
2003-01-09,21.65
2003-01-10,21.8
2003-01-13,21.2
2003-01-14,21.2
2003-01-15,21.07
2003-01-16,20.86
2003-01-17,20.1
2003-01-21,19.38
2003-01-22,19.4
2003-01-23,19.97
2003-01-24,19.61
2003-01-27,19.69
2003-01-28,19.24
2003-01-29,19.15
2003-01-30,18.47
2003-01-31,18.9
2003-02-03,19.05
2003-02-04,18.5
2003-02-05,18.27
2003-02-06,19.2
2003-02-07,19.27
2003-02-10,19.65
2003-02-11,19.6
2003-02-12,19.7
2003-02-13,19.48
2003-02-14,19.95
2003-02-18,19.71
2003-02-19,19.8
2003-02-20,19.45
2003-02-21,20.05
2003-02-24,19.31
2003-02-25,19.9
2003-02-26,19.4
2003-02-27,19.39
2003-02-28,19.19
2003-03-03,19.08
2003-03-04,19.0
2003-03-05,19.24
2003-03-06,19.21
2003-03-07,19.28
2003-03-10,18.85
2003-03-11,18.95
2003-03-12,18.9
2003-03-13,19.15
2003-03-14,19.23
2003-03-17,19.44
2003-03-18,19.98
2003-03-19,19.61
2003-03-20,19.78
2003-03-21,19.98
2003-03-24,20.18
2003-03-25,20.36
2003-03-26,20.1
2003-03-27,20.15
2003-03-28,20.5
2003-03-31,20.1
2003-04-01,20.28
2003-04-02,20.36
2003-04-03,20.15
2003-04-04,20.08
2003-04-07,20.45
2003-04-08,19.99
2003-04-09,20.08
2003-04-10,19.99
2003-04-11,19.4
2003-04-14,19.97
2003-04-15,20.21
2003-04-16,20.09
2003-04-17,20.0
2003-04-21,19.79
2003-04-22,19.75
2003-04-23,19.89
2003-04-24,19.98
2003-04-25,19.87
2003-04-28,19.99
2003-04-29,20.06
2003-04-30,20.4
2003-05-01,20.35
2003-05-02,20.5
2003-05-05,20.23
2003-05-06,20.25
2003-05-07,20.18
2003-05-08,20.13
2003-05-09,20.5
2003-05-12,20.38
2003-05-13,20.37
2003-05-14,20.58
2003-05-15,20.64
2003-05-16,20.4
2003-05-19,20.2
2003-05-20,20.49
2003-05-21,20.47
2003-05-22,20.47
2003-05-23,20.4
2003-05-27,21.0
2003-05-28,21.0
2003-05-29,21.48
2003-05-30,22.0
2003-06-02,22.0
2003-06-03,22.15
2003-06-04,22.3
2003-06-05,22.4
2003-06-06,22.4
2003-06-09,21.5
2003-06-10,21.91
2003-06-11,22.03
2003-06-12,22.2
2003-06-13,21.71
2003-06-16,22.6
2003-06-17,22.85
2003-06-18,22.9
2003-06-19,22.86
2003-06-20,23.14
2003-06-23,23.01
2003-06-24,23.27
2003-06-25,23.38
2003-06-26,23.35
2003-06-27,23.27
2003-06-30,23.18
2003-07-01,23.4
2003-07-02,23.2
2003-07-03,22.9
2003-07-07,23.43
2003-07-08,23.49
2003-07-09,23.49
2003-07-10,23.49
2003-07-11,23.49
2003-07-14,23.35
2003-07-15,23.34
2003-07-16,23.2
2003-07-17,22.4
2003-07-18,22.74
2003-07-21,22.5
2003-07-22,22.4
2003-07-23,22.7
2003-07-24,22.3
2003-07-25,22.68
2003-07-28,22.71
2003-07-29,22.96
2003-07-30,22.98
2003-07-31,23.0
2003-08-01,22.91
2003-08-04,22.74
2003-08-05,22.66
2003-08-06,23.05
2003-08-07,22.75
2003-08-08,22.56
2003-08-11,22.75
2003-08-12,22.94
2003-08-13,22.75
2003-08-14,22.5
2003-08-15,22.94
2003-08-18,23.14
2003-08-19,23.26
2003-08-20,23.26
2003-08-21,23.2
2003-08-22,23.14
2003-08-25,23.01
2003-08-26,23.13
2003-08-27,22.88
2003-08-28,23.24
2003-08-29,23.11
2003-09-02,23.1
2003-09-03,23.3
2003-09-04,23.4
2003-09-05,23.33
2003-09-08,23.31
2003-09-09,23.47
2003-09-10,23.1
2003-09-11,23.05
2003-09-12,23.0
2003-09-15,22.9
2003-09-16,23.02
2003-09-17,22.97
2003-09-18,22.65
2003-09-19,23.4
2003-09-22,23.27
2003-09-23,23.11
2003-09-24,23.0
2003-09-25,22.9
2003-09-26,23.0
2003-09-29,22.52
2003-09-30,22.51
2003-10-01,22.75
2003-10-02,22.86
2003-10-03,23.45
2003-10-06,23.8
2003-10-07,23.82
2003-10-08,23.78
2003-10-09,24.0
2003-10-10,23.98
2003-10-13,24.24
2003-10-14,24.17
2003-10-15,23.87
2003-10-16,23.58
2003-10-17,23.35
2003-10-20,23.8
2003-10-21,23.85
2003-10-22,23.91
2003-10-23,23.76
2003-10-24,23.65
2003-10-27,23.91
2003-10-28,23.99
2003-10-29,24.0
2003-10-30,24.0
2003-10-31,24.05
2003-11-03,24.4
2003-11-04,24.22
2003-11-05,23.95
2003-11-06,23.8
2003-11-07,24.38
2003-11-10,23.74
2003-11-11,23.2
2003-11-12,23.44
2003-11-13,22.75
2003-11-14,23.32
2003-11-17,23.39
2003-11-18,23.2
2003-11-19,23.5
2003-11-20,23.65
2003-11-21,23.76
2003-11-24,24.09
2003-11-25,24.05
2003-11-26,24.03
2003-11-28,24.02
2003-12-01,24.05
2003-12-02,24.0
2003-12-03,23.6
2003-12-04,23.9
2003-12-05,23.1
2003-12-08,23.14
2003-12-09,23.0
2003-12-10,23.05
2003-12-11,23.73
2003-12-12,23.91
2003-12-15,23.5
2003-12-16,23.2
2003-12-17,23.45
2003-12-18,23.54
2003-12-19,23.73
2003-12-22,24.23
2003-12-23,24.5
2003-12-24,24.3
2003-12-26,24.3
2003-12-29,24.28
2003-12-30,24.62
2003-12-31,24.15
2004-01-02,24.12
2004-01-05,24.39
2004-01-06,24.17
2004-01-07,24.72
2004-01-08,24.74
2004-01-09,24.13
2004-01-12,24.69
2004-01-13,24.7
2004-01-14,24.74
2004-01-15,24.75
2004-01-16,24.41
2004-01-20,24.68
2004-01-21,24.45
2004-01-22,24.62
2004-01-23,24.74
2004-01-26,23.85
2004-01-27,23.85
2004-01-28,23.71
2004-01-29,23.35
2004-01-30,22.85
2004-02-02,22.82
2004-02-03,23.05
2004-02-04,22.68
2004-02-05,22.95
2004-02-06,23.58
2004-02-09,23.63
2004-02-10,24.28
2004-02-11,24.32
2004-02-12,23.7
2004-02-13,23.64
2004-02-17,24.09
2004-02-18,24.0
2004-02-19,23.85
2004-02-20,23.52
2004-02-23,23.06
2004-02-24,23.25
2004-02-25,23.57
2004-02-26,23.74
2004-02-27,23.7
2004-03-01,24.04
2004-03-02,23.72
2004-03-03,24.0
2004-03-04,23.95
2004-03-05,23.91
2004-03-08,24.82
2004-03-09,24.95
2004-03-10,24.9
2004-03-11,24.84
2004-03-12,25.43
2004-03-15,25.23
2004-03-16,25.09
2004-03-17,25.19
2004-03-18,25.05
2004-03-19,25.07
2004-03-22,24.73
2004-03-23,24.81
2004-03-24,24.93
2004-03-25,25.18
2004-03-26,25.0
2004-03-29,25.18
2004-03-30,25.2
2004-03-31,25.24
2004-04-01,25.23
2004-04-02,25.2
2004-04-05,25.65
2004-04-06,25.66
2004-04-07,26.25
2004-04-08,26.0
2004-04-12,26.11
2004-04-13,26.02
2004-04-14,26.07
2004-04-15,26.01
2004-04-16,25.98
2004-04-19,26.09
2004-04-20,26.0
2004-04-21,26.35
2004-04-22,26.62
2004-04-23,26.43
2004-04-26,26.46
2004-04-27,26.78
2004-04-28,26.55
2004-04-29,26.45
2004-04-30,26.23
2004-05-03,26.55
2004-05-04,26.65
2004-05-05,26.55
2004-05-06,26.96
2004-05-07,26.67
2004-05-10,26.17
2004-05-11,26.35
2004-05-12,25.78
2004-05-13,25.71
2004-05-14,25.58
2004-05-17,25.2
2004-05-18,25.37
2004-05-19,25.23
2004-05-20,25.7
2004-05-21,25.9
2004-05-24,26.0
2004-05-25,26.27
2004-05-26,26.2
2004-05-27,26.41
2004-05-28,26.15
2004-06-01,26.14
2004-06-02,26.03
2004-06-03,25.66
2004-06-04,25.7
2004-06-07,26.21
2004-06-08,26.1
2004-06-09,25.82
2004-06-10,26.4
2004-06-14,25.72
2004-06-15,25.88
2004-06-16,26.07
2004-06-17,26.3
2004-06-18,26.22
2004-06-21,26.02
2004-06-22,26.4
2004-06-23,26.78
2004-06-24,26.65
2004-06-25,26.9
2004-06-28,26.75
2004-06-29,26.45
2004-06-30,26.65
2004-07-01,26.17
2004-07-02,26.37
2004-07-06,26.26
2004-07-07,26.22
2004-07-08,25.76
2004-07-09,26.0
2004-07-12,26.14
2004-07-13,26.03
2004-07-14,25.88
2004-07-15,25.86
2004-07-16,25.62
2004-07-19,25.82
2004-07-20,26.05
2004-07-21,26.04
2004-07-22,26.05
2004-07-23,25.82
2004-07-26,25.49
2004-07-27,26.02
2004-07-28,25.79
2004-07-29,26.19
2004-07-30,26.14
2004-08-02,25.6
2004-08-03,25.26
2004-08-04,25.49
2004-08-05,24.93
2004-08-06,24.17
2004-08-09,24.39
2004-08-10,24.89
2004-08-11,24.89
2004-08-12,24.62
2004-08-13,24.24
2004-08-16,24.54
2004-08-17,24.68
2004-08-18,25.21
2004-08-19,25.03
2004-08-20,25.55
2004-08-23,25.53
2004-08-24,25.71
2004-08-25,25.94
2004-08-26,25.05
2004-08-27,25.29
2004-08-30,25.03
2004-08-31,25.2
2004-09-01,25.27
2004-09-02,25.62
2004-09-03,25.78
2004-09-07,26.14
2004-09-08,25.75
2004-09-09,26.19
2004-09-10,26.11
2004-09-13,26.46
2004-09-14,26.56
2004-09-15,26.68
2004-09-16,26.81
2004-09-17,26.72
2004-09-20,26.75
2004-09-21,26.87
2004-09-22,26.0
2004-09-23,25.97
2004-09-24,26.1
2004-09-27,25.45
2004-09-28,25.64
2004-09-29,26.35
2004-09-30,26.3
2004-10-01,26.8
2004-10-04,26.79
2004-10-05,26.72
2004-10-06,26.7
2004-10-07,26.36
2004-10-08,25.81
2004-10-11,26.28
2004-10-12,26.0
