KMX,Date
10.5625,1997-02-04
10.125,1997-02-05
10.3125,1997-02-06
10.25,1997-02-07
10.5,1997-02-10
10.5,1997-02-11
10.375,1997-02-12
10.0,1997-02-13
10.0,1997-02-14
10.0625,1997-02-18
10.0,1997-02-19
10.0,1997-02-20
10.0,1997-02-21
10.0,1997-02-24
10.0,1997-02-25
10.125,1997-02-26
10.0,1997-02-27
10.0625,1997-02-28
10.0,1997-03-03
9.5,1997-03-04
9.5625,1997-03-05
9.6875,1997-03-06
9.8125,1997-03-07
9.8125,1997-03-10
9.625,1997-03-11
9.5,1997-03-12
8.8125,1997-03-13
8.4375,1997-03-14
8.4375,1997-03-17
8.3125,1997-03-18
8.25,1997-03-19
8.4375,1997-03-20
8.3125,1997-03-21
8.125,1997-03-24
7.75,1997-03-25
7.8125,1997-03-26
7.625,1997-03-27
7.5,1997-03-31
7.3125,1997-04-01
7.3125,1997-04-02
7.4375,1997-04-03
7.5,1997-04-04
8.0,1997-04-07
7.625,1997-04-08
7.625,1997-04-09
7.625,1997-04-10
7.5,1997-04-11
7.5,1997-04-14
7.375,1997-04-15
7.4375,1997-04-16
7.5,1997-04-17
7.25,1997-04-18
7.0625,1997-04-21
7.0,1997-04-22
7.0625,1997-04-23
6.9375,1997-04-24
6.875,1997-04-25
6.75,1997-04-28
7.0,1997-04-29
7.5,1997-04-30
7.5625,1997-05-01
7.375,1997-05-02
7.5,1997-05-05
7.5,1997-05-06
7.9375,1997-05-07
7.625,1997-05-08
7.8125,1997-05-09
8.3125,1997-05-12
8.1875,1997-05-13
7.8125,1997-05-14
7.6875,1997-05-15
7.5625,1997-05-16
7.375,1997-05-19
7.375,1997-05-20
7.4375,1997-05-21
7.4375,1997-05-22
7.5,1997-05-23
7.4375,1997-05-27
7.25,1997-05-28
7.3125,1997-05-29
7.25,1997-05-30
7.375,1997-06-02
7.3125,1997-06-03
7.1875,1997-06-04
7.25,1997-06-05
7.5,1997-06-06
7.625,1997-06-09
7.4375,1997-06-10
7.25,1997-06-11
7.3125,1997-06-12
7.25,1997-06-13
6.9375,1997-06-16
7.0,1997-06-17
7.1875,1997-06-18
7.1875,1997-06-19
7.4375,1997-06-20
7.375,1997-06-23
7.125,1997-06-24
7.0625,1997-06-25
7.03125,1997-06-26
7.03125,1997-06-27
7.15625,1997-06-30
7.03125,1997-07-01
7.21875,1997-07-02
7.28125,1997-07-03
7.1875,1997-07-07
7.0,1997-07-08
7.09375,1997-07-09
7.125,1997-07-10
7.0,1997-07-11
6.96875,1997-07-14
7.0,1997-07-15
6.875,1997-07-16
7.0,1997-07-17
6.9375,1997-07-18
6.75,1997-07-21
7.0,1997-07-22
6.9375,1997-07-23
6.6875,1997-07-24
6.78125,1997-07-25
6.90625,1997-07-28
7.25,1997-07-29
7.0,1997-07-30
7.09375,1997-07-31
7.25,1997-08-01
7.0625,1997-08-04
7.09375,1997-08-05
7.375,1997-08-06
7.21875,1997-08-07
7.0,1997-08-08
6.78125,1997-08-11
6.75,1997-08-12
6.59375,1997-08-13
6.84375,1997-08-14
6.6875,1997-08-15
6.59375,1997-08-18
6.46875,1997-08-19
6.53125,1997-08-20
6.5625,1997-08-21
6.59375,1997-08-22
6.59375,1997-08-25
6.59375,1997-08-26
6.625,1997-08-27
6.75,1997-08-28
6.875,1997-08-29
6.875,1997-09-02
6.90625,1997-09-03
7.25,1997-09-04
7.375,1997-09-05
7.4375,1997-09-08
7.34375,1997-09-09
7.40625,1997-09-10
7.34375,1997-09-11
7.0625,1997-09-12
6.5,1997-09-15
6.90625,1997-09-16
7.21875,1997-09-17
7.40625,1997-09-18
7.75,1997-09-19
7.71875,1997-09-22
7.71875,1997-09-23
8.125,1997-09-24
8.125,1997-09-25
7.96875,1997-09-26
7.71875,1997-09-29
8.28125,1997-09-30
8.5,1997-10-01
9.0625,1997-10-02
8.84375,1997-10-03
8.5625,1997-10-06
8.34375,1997-10-07
8.34375,1997-10-08
8.25,1997-10-09
8.21875,1997-10-10
8.1875,1997-10-13
8.15625,1997-10-14
8.09375,1997-10-15
7.875,1997-10-16
7.78125,1997-10-17
7.25,1997-10-20
7.5625,1997-10-21
7.625,1997-10-22
7.53125,1997-10-23
