Date,RHT
2019-07-08,187.71
2019-07-05,187.71
2019-07-03,187.7
2019-07-02,188.18
2019-07-01,188.44
2019-06-28,187.76
2019-06-27,188.17
2019-06-26,186.82
2019-06-25,187.53
2019-06-24,187.45
2019-06-21,187.55
2019-06-20,188.25
2019-06-19,188.0
2019-06-18,186.45
2019-06-17,186.28
2019-06-14,185.2
2019-06-13,185.54
2019-06-12,185.04
2019-06-11,185.1
2019-06-10,185.14
2019-06-07,185.44
2019-06-06,185.54
2019-06-05,185.39
2019-06-04,184.41
2019-06-03,184.17
2019-05-31,184.3
2019-05-30,185.08
2019-05-29,185.3
2019-05-28,185.45
2019-05-24,185.69
2019-05-23,186.01
2019-05-22,186.2
2019-05-21,186.13
2019-05-20,185.66
2019-05-17,185.51
2019-05-16,185.55
2019-05-15,185.28
2019-05-14,184.95
2019-05-13,184.22
2019-05-10,184.78
2019-05-09,184.65
2019-05-08,184.31
2019-05-07,184.07
2019-05-06,184.3
2019-05-03,182.59
2019-05-02,182.41
2019-05-01,182.41
2019-04-30,182.53
2019-04-29,182.3
2019-04-26,182.39
2019-04-25,182.3
2019-04-24,182.51
2019-04-23,182.48
2019-04-22,182.01
2019-04-18,181.94
2019-04-17,182.56
2019-04-16,182.64
2019-04-15,182.31
2019-04-12,182.37
2019-04-11,182.5
2019-04-10,183.0
2019-04-09,182.93
2019-04-08,183.05
2019-04-05,183.25
2019-04-04,182.64
2019-04-03,183.0
2019-04-02,183.1
2019-04-01,183.29
2019-03-29,182.7
2019-03-28,181.93
2019-03-27,181.72
2019-03-26,181.99
2019-03-25,181.46
2019-03-22,181.7
2019-03-21,182.53
2019-03-20,182.05
2019-03-19,181.84
2019-03-18,181.84
2019-03-15,181.78
2019-03-14,181.67
2019-03-13,181.58
2019-03-12,182.53
2019-03-11,181.79
2019-03-08,180.71
2019-03-07,180.32
2019-03-06,181.25
2019-03-05,181.74
2019-03-04,182.87
2019-03-01,182.59
2019-02-28,182.6
2019-02-27,182.46
2019-02-26,182.25
2019-02-25,182.4
2019-02-22,182.83
2019-02-21,182.9
2019-02-20,182.31
2019-02-19,181.81
2019-02-15,180.98
2019-02-14,180.02
2019-02-13,179.98
2019-02-12,179.34
2019-02-11,179.18
2019-02-08,179.37
2019-02-07,179.12
2019-02-06,178.81
2019-02-05,178.69
2019-02-04,178.58
2019-02-01,178.38
2019-01-31,177.84
2019-01-30,176.45
2019-01-29,176.2
2019-01-28,176.1
2019-01-25,176.5
2019-01-24,176.35
2019-01-23,176.24
2019-01-22,175.47
2019-01-18,175.51
2019-01-17,175.74
2019-01-16,175.33
2019-01-15,175.61
2019-01-14,174.85
2019-01-11,176.06
2019-01-10,174.5
2019-01-09,174.1
2019-01-08,174.78
2019-01-07,174.5
2019-01-04,173.99
2019-01-03,173.96
2019-01-02,174.18
2018-12-31,175.64
2018-12-28,174.59
2018-12-27,175.39
2018-12-26,173.7
2018-12-24,172.95
2018-12-21,173.47
2018-12-20,174.86
2018-12-19,175.43
2018-12-18,176.0
2018-12-17,176.0
2018-12-14,176.5
2018-12-13,176.82
2018-12-12,176.74
2018-12-11,176.53
2018-12-10,177.0
2018-12-07,177.1
2018-12-06,178.25
2018-12-04,177.85
2018-12-03,178.36
2018-11-30,178.56
2018-11-29,177.89
2018-11-28,178.05
2018-11-27,176.73
2018-11-26,176.97
2018-11-23,175.15
2018-11-21,173.1
2018-11-20,173.46
2018-11-19,173.36
2018-11-16,173.5
2018-11-15,173.82
2018-11-14,173.31
2018-11-13,172.95
2018-11-12,172.88
2018-11-09,173.75
2018-11-08,173.64
2018-11-07,173.63
2018-11-06,173.5
2018-11-05,173.31
2018-11-02,172.24
2018-11-01,172.4
2018-10-31,171.64
2018-10-30,170.0
2018-10-29,169.63
2018-10-26,116.68
2018-10-25,120.52
2018-10-24,116.87
2018-10-23,122.33
2018-10-22,121.9
2018-10-19,120.12
2018-10-18,121.85
2018-10-17,124.84
2018-10-16,125.6
2018-10-15,123.54
2018-10-12,122.51
2018-10-11,117.38
2018-10-10,117.68
2018-10-09,122.78
2018-10-08,125.0
2018-10-05,126.9
2018-10-04,127.97
2018-10-03,130.06
2018-10-02,129.64
2018-10-01,133.03
2018-09-28,136.28
2018-09-27,134.01
2018-09-26,135.72
2018-09-25,135.56
2018-09-24,134.86
2018-09-21,134.62
2018-09-20,133.81
2018-09-19,143.16
2018-09-18,142.71
2018-09-17,144.37
2018-09-14,148.86
2018-09-13,146.86
2018-09-12,151.9
2018-09-11,150.89
2018-09-10,149.77
2018-09-07,148.02
2018-09-06,145.93
2018-09-05,144.28
2018-09-04,149.49
2018-08-31,147.73
2018-08-30,146.32
2018-08-29,147.8
2018-08-28,144.07
2018-08-27,141.97
2018-08-24,141.63
2018-08-23,139.5
2018-08-22,140.14
2018-08-21,140.18
2018-08-20,140.04
2018-08-17,140.15
2018-08-16,140.79
2018-08-15,139.13
2018-08-14,143.53
2018-08-13,143.4
2018-08-10,144.78
2018-08-09,144.72
2018-08-08,142.89
2018-08-07,142.44
2018-08-06,142.86
2018-08-03,141.0
2018-08-02,141.47
2018-08-01,141.36
2018-07-31,141.23
2018-07-30,140.85
2018-07-27,145.44
2018-07-26,149.36
2018-07-25,149.26
2018-07-24,146.0
2018-07-23,147.73
2018-07-20,147.88
2018-07-19,146.2
2018-07-18,148.48
2018-07-17,147.58
2018-07-16,146.22
2018-07-13,147.63
