DTE,Date
0.4212052524089813,1962-01-02
0.41773825883865356,1962-01-03
0.41427183151245117,1962-01-04
0.40560510754585266,1962-01-05
0.40647149085998535,1962-01-08
0.4073382616043091,1962-01-09
0.4090716540813446,1962-01-10
0.4108048975467682,1962-01-11
0.41513851284980774,1962-01-12
0.4090716540813446,1962-01-15
0.4090716540813446,1962-01-16
0.4090716540813446,1962-01-17
0.40647149085998535,1962-01-18
0.40473800897598267,1962-01-19
0.4082048535346985,1962-01-22
0.40647149085998535,1962-01-23
0.40300485491752625,1962-01-24
0.40213802456855774,1962-01-25
0.40300485491752625,1962-01-26
0.39693811535835266,1962-01-29
0.3952048122882843,1962-01-30
0.39087098836898804,1962-01-31
0.39347150921821594,1962-02-01
0.3952048122882843,1962-02-02
0.39693811535835266,1962-02-05
0.39693811535835266,1962-02-06
0.40560510754585266,1962-02-07
0.4108048975467682,1962-02-08
0.41253843903541565,1962-02-09
0.41947174072265625,1962-02-12
0.41947174072265625,1962-02-13
0.41427183151245117,1962-02-14
0.41773825883865356,1962-02-15
0.41253843903541565,1962-02-16
0.41513851284980774,1962-02-19
0.413405179977417,1962-02-20
0.41253843903541565,1962-02-21
0.41427183151245117,1962-02-23
0.41513851284980774,1962-02-26
0.41600480675697327,1962-02-27
0.41600480675697327,1962-02-28
0.41253843903541565,1962-03-01
0.41253843903541565,1962-03-02
0.41253843903541565,1962-03-05
0.4090716540813446,1962-03-06
0.4090716540813446,1962-03-07
0.41253843903541565,1962-03-08
0.4108048975467682,1962-03-09
0.40647149085998535,1962-03-12
0.4073382616043091,1962-03-13
0.4090716540813446,1962-03-14
0.41253843903541565,1962-03-15
0.41600480675697327,1962-03-16
0.413405179977417,1962-03-19
0.413405179977417,1962-03-20
0.41600480675697327,1962-03-21
0.41773825883865356,1962-03-22
0.41600480675697327,1962-03-23
0.4163548946380615,1962-03-26
0.41548025608062744,1962-03-27
0.4137307405471802,1962-03-28
0.41110682487487793,1962-03-29
0.41110682487487793,1962-03-30
0.41110682487487793,1962-04-02
0.40323472023010254,1962-04-03
0.40323472023010254,1962-04-04
0.40323472023010254,1962-04-05
0.40410906076431274,1962-04-06
0.397111713886261,1962-04-09
0.39886102080345154,1962-04-10
0.40410906076431274,1962-04-11
0.39886102080345154,1962-04-12
0.39886102080345154,1962-04-13
0.4014851450920105,1962-04-16
0.40585845708847046,1962-04-17
0.40585845708847046,1962-04-18
0.4119814336299896,1962-04-19
0.4163548946380615,1962-04-23
0.41460540890693665,1962-04-24
0.4119814336299896,1962-04-25
0.4137307405471802,1962-04-26
0.4137307405471802,1962-04-27
0.41285601258277893,1962-04-30
0.4119814336299896,1962-05-01
0.41110682487487793,1962-05-02
0.4119814336299896,1962-05-03
0.41285601258277893,1962-05-04
0.41285601258277893,1962-05-07
0.4119814336299896,1962-05-08
0.41110682487487793,1962-05-09
0.40848225355148315,1962-05-10
0.4076078534126282,1962-05-11
0.4014851450920105,1962-05-14
0.4006103277206421,1962-05-15
0.39886102080345154,1962-05-16
0.39886102080345154,1962-05-17
0.3979862928390503,1962-05-18
