IDXX,Date
0.9453129768371582,1991-06-21
0.90625,1991-06-24
0.90625,1991-06-25
0.90625,1991-06-26
0.90625,1991-06-27
0.90625,1991-06-28
0.9296879768371582,1991-07-01
0.90625,1991-07-02
0.875,1991-07-03
0.875,1991-07-05
0.859375,1991-07-08
0.875,1991-07-09
0.8828129768371582,1991-07-10
0.875,1991-07-11
0.859375,1991-07-12
0.859375,1991-07-15
0.8828129768371582,1991-07-16
0.859375,1991-07-17
0.8671879768371582,1991-07-18
0.890625,1991-07-19
0.875,1991-07-22
0.875,1991-07-23
0.8984379768371582,1991-07-24
0.8828129768371582,1991-07-25
0.9375,1991-07-26
0.9453129768371582,1991-07-29
0.9296879768371582,1991-07-30
0.90625,1991-07-31
0.9375,1991-08-01
0.921875,1991-08-02
0.921875,1991-08-05
0.921875,1991-08-06
0.9296879768371582,1991-08-07
0.9375,1991-08-08
0.921875,1991-08-09
0.9375,1991-08-12
0.921875,1991-08-13
0.9296879768371582,1991-08-14
0.9296879768371582,1991-08-15
0.9296879768371582,1991-08-16
0.84375,1991-08-19
0.8828129768371582,1991-08-20
0.8984379768371582,1991-08-21
0.9140629768371582,1991-08-22
0.921875,1991-08-23
0.921875,1991-08-26
0.8984379768371582,1991-08-27
0.9296879768371582,1991-08-28
1.03125,1991-08-29
1.03125,1991-08-30
0.9921879768371582,1991-09-03
0.984375,1991-09-04
0.984375,1991-09-05
0.9609379768371582,1991-09-06
0.9921879768371582,1991-09-09
0.9921879768371582,1991-09-10
0.9921879768371582,1991-09-11
0.9609379768371582,1991-09-12
0.9921879768371582,1991-09-13
0.96875,1991-09-16
1.0,1991-09-17
1.03125,1991-09-18
1.0234379768371582,1991-09-19
1.03125,1991-09-20
1.03125,1991-09-23
1.0390629768371582,1991-09-24
1.0234379768371582,1991-09-25
1.0390629768371582,1991-09-26
1.0859379768371582,1991-09-27
1.1171879768371582,1991-09-30
1.125,1991-10-01
1.140625,1991-10-02
1.1328129768371582,1991-10-03
1.140625,1991-10-04
1.1484379768371582,1991-10-07
1.1484379768371582,1991-10-08
1.203125,1991-10-09
1.25,1991-10-10
1.28125,1991-10-11
1.296875,1991-10-14
1.296875,1991-10-15
1.296875,1991-10-16
1.234375,1991-10-17
1.2265629768371582,1991-10-18
1.296875,1991-10-21
1.25,1991-10-22
1.3828129768371582,1991-10-23
1.421875,1991-10-24
1.453125,1991-10-25
1.53125,1991-10-28
1.65625,1991-10-29
1.59375,1991-10-30
1.65625,1991-10-31
1.75,1991-11-01
1.640625,1991-11-04
1.734375,1991-11-05
1.78125,1991-11-06
1.796875,1991-11-07
1.8125,1991-11-08
1.78125,1991-11-11
1.75,1991-11-12
1.578125,1991-11-13
1.609375,1991-11-14
1.625,1991-11-15
1.609375,1991-11-18
1.59375,1991-11-19
1.625,1991-11-20
1.609375,1991-11-21
1.4375,1991-11-22
1.359375,1991-11-25
1.203125,1991-11-26
1.25,1991-11-27
1.25,1991-11-29
1.390625,1991-12-02
1.4375,1991-12-03
1.515625,1991-12-04
1.515625,1991-12-05
1.515625,1991-12-06
1.46875,1991-12-09
1.515625,1991-12-10
1.515625,1991-12-11
1.515625,1991-12-12
1.46875,1991-12-13
1.46875,1991-12-16
1.4375,1991-12-17
1.3125,1991-12-18
1.28125,1991-12-19
1.265625,1991-12-20
1.28125,1991-12-23
1.3125,1991-12-24
1.25,1991-12-26
1.28125,1991-12-27
1.390625,1991-12-30
1.390625,1991-12-31
1.375,1992-01-02
1.390625,1992-01-03
1.421875,1992-01-06
1.5,1992-01-07
1.5,1992-01-08
1.5625,1992-01-09
1.59375,1992-01-10
1.59375,1992-01-13
1.5625,1992-01-14
1.515625,1992-01-15
1.53125,1992-01-16
1.546875,1992-01-17
1.5078129768371582,1992-01-20
1.5078129768371582,1992-01-21
1.53125,1992-01-22
1.5234379768371582,1992-01-23
1.546875,1992-01-24
1.515625,1992-01-27
1.4453129768371582,1992-01-28
1.5,1992-01-29
1.609375,1992-01-30
1.5625,1992-01-31
1.5625,1992-02-03
1.5625,1992-02-04
1.546875,1992-02-05
1.5625,1992-02-06
1.515625,1992-02-07
1.5234379768371582,1992-02-10
1.546875,1992-02-11
1.546875,1992-02-12
1.5,1992-02-13
1.5,1992-02-14
1.53125,1992-02-18
1.375,1992-02-19
1.328125,1992-02-20
1.328125,1992-02-21
1.25,1992-02-24
1.21875,1992-02-25
1.203125,1992-02-26
1.25,1992-02-27
1.2109379768371582,1992-02-28
1.234375,1992-03-02
1.28125,1992-03-03
1.3125,1992-03-04
1.296875,1992-03-05
1.3125,1992-03-06
1.328125,1992-03-09
1.3125,1992-03-10
1.328125,1992-03-11
1.34375,1992-03-12
1.34375,1992-03-13
1.3125,1992-03-16
1.3125,1992-03-17
1.328125,1992-03-18
1.4296879768371582,1992-03-19
1.421875,1992-03-20
1.421875,1992-03-23
1.421875,1992-03-24
