USB,Date
0.1543927788734436,1973-05-03
0.15718281269073486,1973-05-04
0.1543927788734436,1973-05-07
0.15718281269073486,1973-05-08
0.15718281269073486,1973-05-09
0.15718281269073486,1973-05-10
0.15718281269073486,1973-05-11
0.15718281269073486,1973-05-14
0.15718281269073486,1973-05-15
0.15718281269073486,1973-05-16
0.15718281269073486,1973-05-17
0.15718281269073486,1973-05-18
0.15718281269073486,1973-05-21
0.15718281269073486,1973-05-22
0.16090352833271027,1973-05-23
0.15718281269073486,1973-05-24
0.15718281269073486,1973-05-25
0.15718281269073486,1973-05-29
0.15718281269073486,1973-05-30
0.15718281269073486,1973-05-31
0.15718281269073486,1973-06-01
0.15718281269073486,1973-06-04
0.1543927788734436,1973-06-05
0.1543927788734436,1973-06-06
0.1543927788734436,1973-06-07
0.15718281269073486,1973-06-08
0.15718281269073486,1973-06-11
0.15718281269073486,1973-06-12
0.15718281269073486,1973-06-13
0.1543927788734436,1973-06-14
0.1543927788734436,1973-06-15
0.1543927788734436,1973-06-18
0.1543927788734436,1973-06-19
0.1543927788734436,1973-06-20
0.1543927788734436,1973-06-21
0.1543927788734436,1973-06-22
0.1543927788734436,1973-06-25
0.1543927788734436,1973-06-26
0.1543927788734436,1973-06-27
0.1543927788734436,1973-06-28
0.1543927788734436,1973-06-29
0.1543927788734436,1973-07-02
0.1543927788734436,1973-07-03
0.1543927788734436,1973-07-05
0.1543927788734436,1973-07-06
0.1543927788734436,1973-07-09
0.1543927788734436,1973-07-10
0.15718281269073486,1973-07-11
0.15718281269073486,1973-07-12
0.15718281269073486,1973-07-13
0.15718281269073486,1973-07-16
0.15718281269073486,1973-07-17
0.15718281269073486,1973-07-18
0.15718281269073486,1973-07-19
0.15718281269073486,1973-07-20
0.15718281269073486,1973-07-23
0.15718281269073486,1973-07-24
0.15718281269073486,1973-07-25
0.15718281269073486,1973-07-26
0.15718281269073486,1973-07-27
0.15718281269073486,1973-07-30
0.1543927788734436,1973-07-31
0.1543927788734436,1973-08-01
0.1543927788734436,1973-08-02
0.1543927788734436,1973-08-03
0.1543927788734436,1973-08-06
