Date,FLIR
2003-01-02,6.2638
2003-01-03,6.4138
2003-01-06,6.3975
2003-01-07,6.2888
2003-01-08,6.1588
2003-01-09,6.3875
2003-01-10,6.4063
2003-01-13,6.4263
2003-01-14,6.3875
2003-01-15,6.25
2003-01-16,6.1875
2003-01-17,5.945
2003-01-21,5.8813
2003-01-22,6.0
2003-01-23,5.9625
2003-01-24,5.8838
2003-01-27,5.9138
2003-01-28,6.16
2003-01-29,6.0863
2003-01-30,5.8375
2003-01-31,5.84
2003-02-03,5.8113
2003-02-04,5.9425
2003-02-05,5.6838
2003-02-06,5.8088
2003-02-07,5.8075
2003-02-10,5.8563
2003-02-11,5.95
2003-02-12,5.8463
2003-02-13,5.9
2003-02-14,5.745
2003-02-18,5.7475
2003-02-19,5.65
2003-02-20,5.6425
2003-02-21,5.625
2003-02-24,5.4113
2003-02-25,5.3113
2003-02-26,5.4688
2003-02-27,5.5113
2003-02-28,5.5263
2003-03-03,5.3938
2003-03-04,5.4363
2003-03-05,5.2788
2003-03-06,5.4175
2003-03-07,5.4313
2003-03-10,5.3238
2003-03-11,5.2125
2003-03-12,5.2375
2003-03-13,5.4625
2003-03-14,5.5
2003-03-17,5.9238
2003-03-18,5.8438
2003-03-19,5.9
2003-03-20,5.8925
2003-03-21,5.8875
2003-03-24,5.7588
2003-03-25,5.915
2003-03-26,5.8575
2003-03-27,5.875
2003-03-28,5.8488
2003-03-31,5.9263
2003-04-01,6.06
2003-04-02,6.1588
2003-04-03,6.0875
2003-04-04,6.1075
2003-04-07,6.0125
2003-04-08,5.995
2003-04-09,5.9438
2003-04-10,5.9013
2003-04-11,6.0138
2003-04-14,6.1088
2003-04-15,6.0675
2003-04-16,6.0525
2003-04-17,6.1138
2003-04-21,6.0713
2003-04-22,5.9025
2003-04-23,6.2025
2003-04-24,6.1175
2003-04-25,6.0663
2003-04-28,6.1488
2003-04-29,6.2975
2003-04-30,6.5125
2003-05-01,6.4375
2003-05-02,6.7825
2003-05-05,6.965
2003-05-06,6.6438
2003-05-07,6.3938
2003-05-08,6.335
2003-05-09,6.4838
2003-05-12,6.4825
2003-05-13,6.3725
2003-05-14,6.4463
2003-05-15,6.5675
2003-05-16,6.5725
2003-05-19,6.3438
2003-05-20,6.5088
2003-05-21,6.4963
2003-05-22,6.5375
2003-05-23,6.5663
2003-05-27,6.875
2003-05-28,6.8175
2003-05-29,7.0138
2003-05-30,7.13
2003-06-02,7.125
2003-06-03,7.1425
2003-06-04,7.05
2003-06-05,7.3
2003-06-06,7.7
2003-06-09,7.5
2003-06-10,7.595
2003-06-11,7.7375
2003-06-12,7.7125
2003-06-13,7.6075
2003-06-16,7.63
2003-06-17,7.715
2003-06-18,7.84
2003-06-19,7.8575
2003-06-20,7.665
2003-06-23,7.5125
2003-06-24,7.6125
2003-06-25,7.4325
2003-06-26,7.5
2003-06-27,7.6125
2003-06-30,7.5275
2003-07-01,7.565
2003-07-02,7.8625
2003-07-03,7.7375
2003-07-07,7.69
2003-07-08,7.8775
2003-07-09,7.985
2003-07-10,7.845
2003-07-11,7.875
2003-07-14,7.8875
2003-07-15,7.6575
2003-07-16,7.66
2003-07-17,7.4975
2003-07-18,7.675
2003-07-21,7.4675
2003-07-22,7.7375
2003-07-23,7.1975
2003-07-24,7.165
2003-07-25,6.8525
2003-07-28,7.025
2003-07-29,6.9825
2003-07-30,6.7475
2003-07-31,6.775
2003-08-01,6.675
2003-08-04,6.865
2003-08-05,6.63
2003-08-06,6.485
2003-08-07,6.5275
2003-08-08,6.5525
2003-08-11,6.49
2003-08-12,6.6725
2003-08-13,6.6
2003-08-14,6.7825
2003-08-15,6.8575
2003-08-18,6.855
2003-08-19,6.75
2003-08-20,6.625
2003-08-21,6.655
2003-08-22,6.7025
2003-08-25,6.6875
2003-08-26,6.325
2003-08-27,6.3975
2003-08-28,6.4975
2003-08-29,6.6125
2003-09-02,6.8025
2003-09-03,6.775
2003-09-04,6.82
2003-09-05,6.775
2003-09-08,6.8525
2003-09-09,6.825
2003-09-10,6.765
2003-09-11,6.81
2003-09-12,6.8775
2003-09-15,6.85
2003-09-16,6.9875
2003-09-17,7.0975
2003-09-18,7.1225
2003-09-19,6.95
2003-09-22,7.0025
2003-09-23,7.0325
2003-09-24,6.8825
2003-09-25,6.7
2003-09-26,6.4875
2003-09-29,6.535
2003-09-30,6.355
2003-10-01,6.4925
2003-10-02,6.475
2003-10-03,6.5975
2003-10-06,6.8075
2003-10-07,6.7275
2003-10-08,6.6225
2003-10-09,6.445
2003-10-10,6.4675
2003-10-13,6.425
2003-10-14,6.5475
2003-10-15,6.6
2003-10-16,6.71
2003-10-17,6.5575
2003-10-20,6.605
2003-10-21,6.7125
2003-10-22,6.96
2003-10-23,7.6825
2003-10-24,7.65
2003-10-27,7.69
2003-10-28,7.995
2003-10-29,7.9875
2003-10-30,7.8775
2003-10-31,7.8175
2003-11-03,7.8075
2003-11-04,7.9625
2003-11-05,7.97
2003-11-06,8.0125
2003-11-07,8.1075
2003-11-10,7.75
2003-11-11,7.5975
2003-11-12,7.8325
2003-11-13,8.0025
2003-11-14,8.085
2003-11-17,8.0525
2003-11-18,8.2
2003-11-19,8.255
2003-11-20,8.205
2003-11-21,8.475
2003-11-24,8.46
2003-11-25,8.675
2003-11-26,8.62
2003-11-28,8.615
2003-12-01,8.7425
2003-12-02,8.8325
2003-12-03,8.825
2003-12-04,8.835
2003-12-05,8.74
2003-12-08,8.805
2003-12-09,8.735
2003-12-10,8.5875
2003-12-11,8.82
2003-12-12,8.8325
2003-12-15,8.67
2003-12-16,8.595
