Date,CELG
2003-01-02,2.735
2003-01-03,2.7813
2003-01-06,2.775
2003-01-07,2.8375
2003-01-08,2.7725
2003-01-09,2.8925
2003-01-10,2.9475
2003-01-13,2.9925
2003-01-14,3.0363
2003-01-15,2.9363
2003-01-16,3.1063
2003-01-17,3.0513
2003-01-21,2.9775
2003-01-22,3.0113
2003-01-23,3.0875
2003-01-24,2.9138
2003-01-27,2.6463
2003-01-28,2.7288
2003-01-29,2.7338
2003-01-30,2.81
2003-01-31,2.7988
2003-02-03,2.755
2003-02-04,2.755
2003-02-05,2.7037
2003-02-06,2.7037
2003-02-07,2.815
2003-02-10,2.78
2003-02-11,2.81
2003-02-12,2.6988
2003-02-13,2.6238
2003-02-14,2.6738
2003-02-18,2.7513
2003-02-19,2.7
2003-02-20,2.6938
2003-02-21,2.7538
2003-02-24,2.6725
2003-02-25,2.68
2003-02-26,2.6625
2003-02-27,2.6713
2003-02-28,2.7375
2003-03-03,2.8038
2003-03-04,2.8188
2003-03-05,2.875
2003-03-06,2.975
2003-03-07,3.0
2003-03-10,2.95
2003-03-11,2.9788
2003-03-12,3.0
2003-03-13,3.1163
2003-03-14,3.0625
2003-03-17,3.1525
2003-03-18,3.2625
2003-03-19,3.2575
2003-03-20,3.3263
2003-03-21,3.3325
2003-03-24,3.305
2003-03-25,3.2813
2003-03-26,3.2575
2003-03-27,3.3963
2003-03-28,3.3875
2003-03-31,3.26
2003-04-01,3.35
2003-04-02,3.515
2003-04-03,3.57
2003-04-04,3.4763
2003-04-07,3.3675
2003-04-08,3.2875
2003-04-09,3.255
2003-04-10,3.29
2003-04-11,3.1488
2003-04-14,3.1938
2003-04-15,3.2375
2003-04-16,3.1738
2003-04-17,3.18
2003-04-21,3.2163
2003-04-22,3.2762
2003-04-23,3.3488
2003-04-24,3.5325
2003-04-25,3.485
2003-04-28,3.4538
2003-04-29,3.3638
2003-04-30,3.3263
2003-05-01,3.2338
2003-05-02,3.44
2003-05-05,3.455
2003-05-06,3.5713
2003-05-07,3.4388
2003-05-08,3.3163
2003-05-09,3.4275
2003-05-12,3.5125
2003-05-13,3.6038
2003-05-14,3.73
2003-05-15,3.8875
2003-05-16,3.935
2003-05-19,3.7488
2003-05-20,3.7
2003-05-21,3.6675
2003-05-22,3.7938
2003-05-23,3.8875
2003-05-27,4.1838
2003-05-28,4.0375
2003-05-29,3.8
2003-05-30,3.935
2003-06-02,3.91
2003-06-03,3.99
2003-06-04,4.0113
2003-06-05,4.2988
2003-06-06,4.345
2003-06-09,4.13
2003-06-10,4.2025
2003-06-11,4.3425
2003-06-12,4.3313
2003-06-13,4.2288
2003-06-16,4.3325
2003-06-17,4.415
2003-06-18,4.21
2003-06-19,3.9113
2003-06-20,4.0063
2003-06-23,3.9075
2003-06-24,3.875
2003-06-25,3.825
2003-06-26,3.9375
2003-06-27,3.9025
2003-06-30,3.7925
2003-07-01,3.815
2003-07-02,3.88
2003-07-03,3.8913
2003-07-07,3.9988
2003-07-08,4.0663
2003-07-09,4.0625
2003-07-10,3.9813
2003-07-11,3.99
2003-07-14,4.1425
2003-07-15,4.13
2003-07-16,4.125
2003-07-17,3.9713
2003-07-18,4.0225
2003-07-21,3.9788
2003-07-22,4.0525
2003-07-23,4.255
2003-07-24,4.1563
2003-07-25,4.3325
2003-07-28,4.6275
2003-07-29,4.43
2003-07-30,4.5863
2003-07-31,4.5738
2003-08-01,4.485
2003-08-04,4.3738
2003-08-05,4.25
2003-08-06,4.095
2003-08-07,4.1825
2003-08-08,4.1887
2003-08-11,4.3125
2003-08-12,4.4375
2003-08-13,4.4425
2003-08-14,4.4413
2003-08-15,4.4888
2003-08-18,4.6688
2003-08-19,4.7
2003-08-20,4.8962
2003-08-21,4.9888
2003-08-22,4.8475
2003-08-25,4.8413
2003-08-26,4.7988
2003-08-27,4.7688
2003-08-28,4.8113
2003-08-29,4.8113
2003-09-02,4.9213
2003-09-03,5.0075
2003-09-04,5.25
2003-09-05,5.6088
2003-09-08,5.815
2003-09-09,5.93
2003-09-10,5.66
2003-09-11,5.5875
2003-09-12,5.685
2003-09-15,5.6388
2003-09-16,5.75
2003-09-17,5.86
2003-09-18,5.82
2003-09-19,5.7363
2003-09-22,5.6875
2003-09-23,5.6175
2003-09-24,5.4325
2003-09-25,5.525
2003-09-26,5.3125
2003-09-29,5.615
2003-09-30,5.4125
2003-10-01,5.4313
2003-10-02,5.5175
2003-10-03,5.5675
2003-10-06,5.7063
2003-10-07,5.7788
2003-10-08,5.6738
2003-10-09,5.705
2003-10-10,5.6038
2003-10-13,5.6563
2003-10-14,5.6625
2003-10-15,5.4688
2003-10-16,5.4525
2003-10-17,5.25
2003-10-20,4.9575
2003-10-21,5.2563
2003-10-22,5.02
2003-10-23,5.13
2003-10-24,5.0288
2003-10-27,5.0163
2003-10-28,5.1813
2003-10-29,5.0775
2003-10-30,5.085
2003-10-31,5.2113
2003-11-03,5.1238
2003-11-04,5.0625
2003-11-05,5.1088
2003-11-06,5.125
2003-11-07,5.0025
2003-11-10,4.7475
2003-11-11,4.6363
2003-11-12,4.935
2003-11-13,5.125
2003-11-14,5.1763
2003-11-17,5.0913
2003-11-18,5.085
2003-11-19,5.275
2003-11-20,5.285
2003-11-21,5.3313
2003-11-24,5.7
2003-11-25,5.635
2003-11-26,5.6663
2003-11-28,5.7163
2003-12-01,5.955
2003-12-02,5.86
2003-12-03,5.825
2003-12-04,5.7525
2003-12-05,5.7413
2003-12-08,5.6538
2003-12-09,5.5538
2003-12-10,5.4525
2003-12-11,5.6363
2003-12-12,5.6988
2003-12-15,5.6038
2003-12-16,5.5163
2003-12-17,5.495
2003-12-18,5.52
2003-12-19,5.435
2003-12-22,5.4225
2003-12-23,5.5
2003-12-24,5.5313
2003-12-26,5.5125
2003-12-29,5.5813
2003-12-30,5.6363
2003-12-31,5.61
2004-01-02,5.6513
2004-01-05,5.4788
2004-01-06,5.4375
2004-01-07,5.4288
2004-01-08,5.6138
2004-01-09,5.8263
2004-01-12,5.2588
2004-01-13,4.9688
2004-01-14,5.0525
2004-01-15,5.0738
2004-01-16,5.27
2004-01-20,5.22
2004-01-21,5.5625
2004-01-22,5.4638
2004-01-23,5.4738
2004-01-26,5.5413
2004-01-27,5.3288
2004-01-28,5.1838
2004-01-29,5.13
2004-01-30,5.0588
2004-02-02,5.2188
2004-02-03,5.1075
2004-02-04,5.0863
2004-02-05,5.145
2004-02-06,5.2763
2004-02-09,5.3238
2004-02-10,5.2087
2004-02-11,5.225
2004-02-12,5.0888
2004-02-13,5.0225
2004-02-17,5.0538
2004-02-18,5.005
2004-02-19,4.9013
2004-02-20,4.96
2004-02-23,4.9863
2004-02-24,4.9613
2004-02-25,5.1288
2004-02-26,5.1613
2004-02-27,5.1238
2004-03-01,5.2238
2004-03-02,5.4338
2004-03-03,5.415
2004-03-04,5.5063
2004-03-05,5.5488
2004-03-08,5.58
2004-03-09,5.495
2004-03-10,5.4638
2004-03-11,5.3975
2004-03-12,5.55
2004-03-15,5.485
2004-03-16,5.57
2004-03-17,5.9188
2004-03-18,5.9713
2004-03-19,5.9075
2004-03-22,5.7363
2004-03-23,5.6688
2004-03-24,5.7188
2004-03-25,5.8725
2004-03-26,5.8088
2004-03-29,5.8788
2004-03-30,5.925
2004-03-31,5.9563
2004-04-01,6.2087
2004-04-02,6.375
2004-04-05,6.5863
2004-04-06,6.5463
2004-04-07,6.4888
2004-04-08,6.3675
2004-04-12,6.5475
2004-04-13,6.3913
2004-04-14,6.3938
2004-04-15,6.4863
2004-04-16,6.5513
2004-04-19,6.7813
2004-04-20,6.6575
2004-04-21,6.7875
2004-04-22,7.0113
2004-04-23,7.1175
2004-04-26,7.4375
2004-04-27,7.28
2004-04-28,6.4725
2004-04-29,6.4225
2004-04-30,6.45
2004-05-03,6.4175
2004-05-04,6.5
2004-05-05,6.7938
2004-05-06,6.8088
2004-05-07,6.6225
2004-05-10,6.5025
2004-05-11,6.5125
2004-05-12,6.71
2004-05-13,6.92
2004-05-14,7.1213
2004-05-17,6.9288
2004-05-18,6.7788
2004-05-19,6.745
2004-05-20,6.6888
2004-05-21,6.8025
2004-05-24,6.8438
2004-05-25,6.93
2004-05-26,7.04
2004-05-27,7.0525
2004-05-28,7.125
2004-06-01,7.2563
2004-06-02,7.2188
2004-06-03,7.065
2004-06-04,7.3488
2004-06-07,7.1263
2004-06-08,7.085
2004-06-09,6.8463
2004-06-10,6.7325
2004-06-14,6.785
2004-06-15,6.8375
2004-06-16,6.9488
2004-06-17,6.9225
2004-06-18,6.9625
2004-06-21,6.9163
2004-06-22,6.9725
2004-06-23,7.2338
2004-06-24,7.2663
2004-06-25,7.3525
2004-06-28,7.2513
2004-06-29,7.2363
2004-06-30,7.1575
2004-07-01,7.1188
2004-07-02,7.1188
2004-07-06,7.0813
2004-07-07,7.0413
2004-07-08,6.9288
2004-07-09,7.0363
2004-07-12,7.0
2004-07-13,6.925
2004-07-14,6.815
2004-07-15,6.9588
2004-07-16,6.7825
2004-07-19,6.4375
2004-07-20,6.5638
2004-07-21,6.0925
2004-07-22,6.375
2004-07-23,6.3175
2004-07-26,6.1613
2004-07-27,6.3788
2004-07-28,6.4213
2004-07-29,6.565
2004-07-30,6.6663
2004-08-02,6.555
2004-08-03,6.5425
2004-08-04,6.535
2004-08-05,6.3988
2004-08-06,6.22
2004-08-09,6.2125
2004-08-10,6.3713
2004-08-11,6.55
2004-08-12,6.4513
2004-08-13,6.2675
2004-08-16,6.4563
2004-08-17,6.5488
2004-08-18,6.75
2004-08-19,6.8013
2004-08-20,6.8763
2004-08-23,6.6988
2004-08-24,6.7013
2004-08-25,6.97
2004-08-26,7.0275
2004-08-27,7.1538
2004-08-30,6.9375
2004-08-31,7.0938
2004-09-01,7.155
2004-09-02,7.2263
2004-09-03,7.0938
2004-09-07,7.0375
2004-09-08,7.06
2004-09-09,7.1538
2004-09-10,7.2063
2004-09-13,7.2875
2004-09-14,7.2963
2004-09-15,7.2475
2004-09-16,7.2238
2004-09-17,7.4238
2004-09-20,7.3875
2004-09-21,7.48
2004-09-22,7.345
2004-09-23,7.2938
2004-09-24,7.2713
2004-09-27,7.225
2004-09-28,7.2138
2004-09-29,7.305
2004-09-30,7.2788
2004-10-01,7.36
2004-10-04,7.6813
2004-10-05,7.745
2004-10-06,7.8925
2004-10-07,7.6613
2004-10-08,7.63
2004-10-11,7.8075
2004-10-12,7.8075
2004-10-13,7.7113
2004-10-14,7.6063
2004-10-15,7.7663
2004-10-18,7.8313
2004-10-19,7.7625
2004-10-20,7.7975
2004-10-21,7.2775
2004-10-22,7.015
2004-10-25,7.2475
2004-10-26,7.3825
2004-10-27,7.525
2004-10-28,7.375
2004-10-29,7.405
2004-11-01,7.4
2004-11-02,7.4825
2004-11-03,7.875
2004-11-04,7.6775
2004-11-05,7.595
2004-11-08,7.5075
2004-11-09,7.6925
2004-11-10,8.0225
2004-11-11,7.7425
2004-11-12,7.6025
2004-11-15,7.36
2004-11-16,7.34
2004-11-17,6.9675
2004-11-18,6.825
2004-11-19,6.7125
2004-11-22,6.655
2004-11-23,6.7175
2004-11-24,6.8
2004-11-26,6.8475
2004-11-29,6.825
2004-11-30,6.855
2004-12-01,7.0025
2004-12-02,7.1425
2004-12-03,7.15
2004-12-06,7.095
2004-12-07,6.9725
2004-12-08,7.13
2004-12-09,7.17
2004-12-10,7.21
2004-12-13,7.29
2004-12-14,7.2475
2004-12-15,7.0925
2004-12-16,6.93
2004-12-17,6.7525
2004-12-20,6.555
2004-12-21,6.5125
2004-12-22,6.5725
2004-12-23,6.635
2004-12-27,6.635
2004-12-28,6.7375
2004-12-29,6.7
2004-12-30,6.69
2004-12-31,6.63
2005-01-03,6.575
2005-01-04,6.2925
2005-01-05,6.3875
2005-01-06,6.6875
2005-01-07,6.8075
2005-01-10,7.1
2005-01-11,7.0525
2005-01-12,7.435
2005-01-13,7.3
2005-01-14,7.4625
2005-01-18,7.425
2005-01-19,7.35
2005-01-20,7.285
2005-01-21,7.19
2005-01-24,6.995
2005-01-25,7.1
2005-01-26,7.195
2005-01-27,7.0675
2005-01-28,6.85
2005-01-31,6.835
2005-02-01,6.9
2005-02-02,6.965
2005-02-03,6.81
2005-02-04,6.975
2005-02-07,7.115
2005-02-08,6.98
2005-02-09,6.78
2005-02-10,6.8
2005-02-11,7.035
2005-02-14,7.02
2005-02-15,7.125
2005-02-16,7.1525
2005-02-17,6.8975
2005-02-18,6.8725
2005-02-22,6.8625
2005-02-23,6.9225
2005-02-24,7.0375
2005-02-25,7.0425
2005-02-28,6.845
2005-03-01,7.0375
2005-03-02,7.155
2005-03-03,7.1275
2005-03-04,7.17
2005-03-07,8.47
2005-03-08,8.2775
2005-03-09,8.225
2005-03-10,8.25
2005-03-11,8.2
2005-03-14,8.4925
2005-03-15,8.4675
2005-03-16,8.3125
2005-03-17,8.31
2005-03-18,8.2625
