ANSS,Date
2.09375,1997-03-18
2.0625,1997-03-19
2.15625,1997-03-20
2.0,1997-03-21
1.96875,1997-03-24
1.9375,1997-03-25
2.0,1997-03-26
2.0625,1997-03-27
2.03125,1997-03-31
1.78125,1997-04-01
1.71875,1997-04-02
1.78125,1997-04-03
1.75,1997-04-04
1.71875,1997-04-07
1.75,1997-04-08
1.71875,1997-04-09
1.71875,1997-04-10
1.65625,1997-04-11
1.59375,1997-04-14
1.625,1997-04-15
1.625,1997-04-16
1.5,1997-04-17
1.5,1997-04-18
1.53125,1997-04-21
1.40625,1997-04-22
1.40625,1997-04-23
1.53125,1997-04-24
1.53125,1997-04-25
1.53125,1997-04-28
1.5625,1997-04-29
1.71875,1997-04-30
1.6875,1997-05-01
1.65625,1997-05-02
1.59375,1997-05-05
1.59375,1997-05-06
1.59375,1997-05-07
1.5625,1997-05-08
1.59375,1997-05-09
1.59375,1997-05-12
1.59375,1997-05-13
1.625,1997-05-14
1.59375,1997-05-15
1.65625,1997-05-16
1.6875,1997-05-19
1.8125,1997-05-20
2.0,1997-05-21
1.875,1997-05-22
1.9375,1997-05-23
1.9375,1997-05-27
2.0,1997-05-28
2.03125,1997-05-29
2.15625,1997-05-30
2.21875,1997-06-02
2.25,1997-06-03
2.28125,1997-06-04
2.125,1997-06-05
2.21875,1997-06-06
2.1875,1997-06-09
2.1875,1997-06-10
2.15625,1997-06-11
2.0625,1997-06-12
2.15625,1997-06-13
2.15625,1997-06-16
2.078125,1997-06-17
1.96875,1997-06-18
2.03125,1997-06-19
2.03125,1997-06-20
1.875,1997-06-23
1.6875,1997-06-24
1.8125,1997-06-25
1.90625,1997-06-26
1.9375,1997-06-27
1.96875,1997-06-30
2.03125,1997-07-01
2.0625,1997-07-02
2.0,1997-07-03
2.03125,1997-07-07
2.0625,1997-07-08
2.0625,1997-07-09
2.0625,1997-07-10
2.0625,1997-07-11
1.96875,1997-07-14
2.03125,1997-07-15
2.09375,1997-07-16
2.09375,1997-07-17
2.03125,1997-07-18
2.09375,1997-07-21
2.09375,1997-07-22
2.03125,1997-07-23
2.03125,1997-07-24
2.0,1997-07-25
2.0625,1997-07-28
2.0,1997-07-29
2.03125,1997-07-30
2.0,1997-07-31
2.0,1997-08-01
1.9375,1997-08-04
1.84375,1997-08-05
1.78125,1997-08-06
1.8125,1997-08-07
1.9375,1997-08-08
1.984375,1997-08-11
2.03125,1997-08-12
2.09375,1997-08-13
2.21875,1997-08-14
2.25,1997-08-15
2.21875,1997-08-18
2.28125,1997-08-19
2.40625,1997-08-20
2.375,1997-08-21
2.5,1997-08-22
2.5625,1997-08-25
2.625,1997-08-26
2.75,1997-08-27
2.734375,1997-08-28
2.75,1997-08-29
2.75,1997-09-02
2.71875,1997-09-03
2.65625,1997-09-04
2.5625,1997-09-05
2.65625,1997-09-08
2.625,1997-09-09
2.5,1997-09-10
2.59375,1997-09-11
2.59375,1997-09-12
2.5,1997-09-15
2.5,1997-09-16
2.4375,1997-09-17
2.40625,1997-09-18
2.40625,1997-09-19
2.34375,1997-09-22
2.375,1997-09-23
2.46875,1997-09-24
2.5,1997-09-25
2.5,1997-09-26
2.515625,1997-09-29
2.65625,1997-09-30
2.375,1997-10-01
2.34375,1997-10-02
2.078125,1997-10-03
2.03125,1997-10-06
2.015625,1997-10-07
1.96875,1997-10-08
2.015625,1997-10-09
2.046875,1997-10-10
2.078125,1997-10-13
2.40625,1997-10-14
2.46875,1997-10-15
2.4375,1997-10-16
2.46875,1997-10-17
2.453125,1997-10-20
2.5,1997-10-21
2.59375,1997-10-22
2.375,1997-10-23
2.375,1997-10-24
2.375,1997-10-27
2.3125,1997-10-28
2.375,1997-10-29
2.3125,1997-10-30
2.3125,1997-10-31
2.296875,1997-11-03
2.25,1997-11-04
2.25,1997-11-05
2.234375,1997-11-06
2.1875,1997-11-07
2.203125,1997-11-10
2.15625,1997-11-11
2.1875,1997-11-12
2.15625,1997-11-13
2.09375,1997-11-14
2.125,1997-11-17
2.09375,1997-11-18
2.0,1997-11-19
2.03125,1997-11-20
2.0625,1997-11-21
2.0,1997-11-24
2.0,1997-11-25
1.96875,1997-11-26
1.96875,1997-11-28
2.0,1997-12-01
1.984375,1997-12-02
1.9375,1997-12-03
1.875,1997-12-04
1.84375,1997-12-05
1.96875,1997-12-08
1.96875,1997-12-09
1.96875,1997-12-10
1.96875,1997-12-11
1.859375,1997-12-12
1.921875,1997-12-15
1.890625,1997-12-16
1.890625,1997-12-17
1.875,1997-12-18
1.859375,1997-12-19
1.71875,1997-12-22
1.6875,1997-12-23
1.78125,1997-12-24
1.71875,1997-12-26
1.71875,1997-12-29
1.75,1997-12-30
1.8125,1997-12-31
1.75,1998-01-02
1.78125,1998-01-05
1.859375,1998-01-06
1.859375,1998-01-07
1.859375,1998-01-08
1.921875,1998-01-09
1.875,1998-01-12
1.875,1998-01-13
1.9375,1998-01-14
2.046875,1998-01-15
2.09375,1998-01-16
2.046875,1998-01-20
2.09375,1998-01-21
2.03125,1998-01-22
2.046875,1998-01-23
2.015625,1998-01-26
2.140625,1998-01-27
2.15625,1998-01-28
2.21875,1998-01-29
2.125,1998-01-30
2.140625,1998-02-02
2.15625,1998-02-03
2.3125,1998-02-04
2.25,1998-02-05
2.328125,1998-02-06
2.28125,1998-02-09
2.25,1998-02-10
2.25,1998-02-11
2.234375,1998-02-12
2.171875,1998-02-13
2.15625,1998-02-17
2.09375,1998-02-18
2.078125,1998-02-19
2.125,1998-02-20
2.125,1998-02-23
2.140625,1998-02-24
2.125,1998-02-25
2.0625,1998-02-26
2.0625,1998-02-27
2.0625,1998-03-02
2.0625,1998-03-03
2.125,1998-03-04
2.109375,1998-03-05
2.234375,1998-03-06
2.28125,1998-03-09
2.265625,1998-03-10
2.3125,1998-03-11
2.34375,1998-03-12
2.609375,1998-03-13
2.5625,1998-03-16
2.53125,1998-03-17
2.53125,1998-03-18
2.5,1998-03-19
2.5,1998-03-20
2.375,1998-03-23
2.546875,1998-03-24
2.53125,1998-03-25
2.484375,1998-03-26
2.46875,1998-03-27
2.46875,1998-03-30
2.5,1998-03-31
2.578125,1998-04-01
2.625,1998-04-02
2.6875,1998-04-03
2.703125,1998-04-06
2.5625,1998-04-07
2.375,1998-04-08
2.4375,1998-04-09
2.40625,1998-04-13
2.34375,1998-04-14
2.515625,1998-04-15
2.5,1998-04-16
2.5,1998-04-17
2.6875,1998-04-20
2.9375,1998-04-21
2.875,1998-04-22
2.75,1998-04-23
2.53125,1998-04-24
2.53125,1998-04-27
2.59375,1998-04-28
2.5625,1998-04-29
2.59375,1998-04-30
2.65625,1998-05-01
2.625,1998-05-04
2.75,1998-05-05
2.65625,1998-05-06
2.65625,1998-05-07
2.75,1998-05-08
2.6875,1998-05-11
2.78125,1998-05-12
2.828125,1998-05-13
2.765625,1998-05-14
2.75,1998-05-15
2.6875,1998-05-18
2.53125,1998-05-19
2.5625,1998-05-20
2.5,1998-05-21
2.4375,1998-05-22
2.46875,1998-05-26
2.5,1998-05-27
2.625,1998-05-28
2.5625,1998-05-29
2.46875,1998-06-01
2.40625,1998-06-02
2.46875,1998-06-03
2.375,1998-06-04
2.40625,1998-06-05
2.296875,1998-06-08
2.28125,1998-06-09
2.328125,1998-06-10
2.328125,1998-06-11
2.25,1998-06-12
2.28125,1998-06-15
2.46875,1998-06-16
2.5625,1998-06-17
2.53125,1998-06-18
2.5,1998-06-19
2.46875,1998-06-22
2.46875,1998-06-23
2.46875,1998-06-24
2.46875,1998-06-25
2.46875,1998-06-26
2.453125,1998-06-29
2.46875,1998-06-30
2.65625,1998-07-01
2.78125,1998-07-02
2.8125,1998-07-06
2.78125,1998-07-07
2.5625,1998-07-08
2.53125,1998-07-09
2.625,1998-07-10
2.75,1998-07-13
2.78125,1998-07-14
2.6875,1998-07-15
2.65625,1998-07-16
2.40625,1998-07-17
2.515625,1998-07-20
2.53125,1998-07-21
2.5,1998-07-22
2.5,1998-07-23
2.4375,1998-07-24
2.390625,1998-07-27
2.34375,1998-07-28
2.3125,1998-07-29
2.1875,1998-07-30
2.25,1998-07-31
2.1875,1998-08-03
2.15625,1998-08-04
2.21875,1998-08-05
2.25,1998-08-06
2.1875,1998-08-07
2.15625,1998-08-10
2.09375,1998-08-11
2.03125,1998-08-12
2.09375,1998-08-13
2.0625,1998-08-14
2.09375,1998-08-17
2.28125,1998-08-18
2.078125,1998-08-19
2.109375,1998-08-20
2.125,1998-08-21
2.0625,1998-08-24
2.09375,1998-08-25
2.15625,1998-08-26
1.90625,1998-08-27
1.9375,1998-08-28
1.71875,1998-08-31
1.71875,1998-09-01
1.78125,1998-09-02
1.65625,1998-09-03
1.5625,1998-09-04
1.625,1998-09-08
1.71875,1998-09-09
1.625,1998-09-10
1.5625,1998-09-11
1.625,1998-09-14
1.65625,1998-09-15
1.71875,1998-09-16
1.6875,1998-09-17
1.65625,1998-09-18
1.5625,1998-09-21
1.65625,1998-09-22
1.75,1998-09-23
1.75,1998-09-24
1.84375,1998-09-25
1.84375,1998-09-28
1.875,1998-09-29
1.8125,1998-09-30
1.75,1998-10-01
1.71875,1998-10-02
1.8125,1998-10-05
1.75,1998-10-06
1.65625,1998-10-07
1.5,1998-10-08
1.625,1998-10-09
1.5625,1998-10-12
1.59375,1998-10-13
1.5,1998-10-14
1.4375,1998-10-15
1.5,1998-10-16
1.5625,1998-10-19
1.75,1998-10-20
1.78125,1998-10-21
1.8125,1998-10-22
1.8125,1998-10-23
1.875,1998-10-26
1.8125,1998-10-27
1.75,1998-10-28
1.75,1998-10-29
1.796875,1998-10-30
1.8125,1998-11-02
1.7578129768371582,1998-11-03
1.875,1998-11-04
1.875,1998-11-05
1.9375,1998-11-06
2.0,1998-11-09
1.9375,1998-11-10
1.953125,1998-11-11
2.046875,1998-11-12
2.125,1998-11-13
2.109375,1998-11-16
2.125,1998-11-17
2.15625,1998-11-18
2.125,1998-11-19
2.3125,1998-11-20
2.59375,1998-11-23
2.46875,1998-11-24
2.46875,1998-11-25
2.40625,1998-11-27
2.5,1998-11-30
2.46875,1998-12-01
2.4375,1998-12-02
2.4375,1998-12-03
2.71875,1998-12-04
2.875,1998-12-07
2.71875,1998-12-08
2.59375,1998-12-09
2.46875,1998-12-10
2.34375,1998-12-11
2.25,1998-12-14
2.359375,1998-12-15
2.640625,1998-12-16
2.4375,1998-12-17
2.5,1998-12-18
2.6875,1998-12-21
2.625,1998-12-22
2.609375,1998-12-23
2.59375,1998-12-24
2.71875,1998-12-28
2.71875,1998-12-29
2.6875,1998-12-30
2.75,1998-12-31
2.734375,1999-01-04
2.71875,1999-01-05
2.59375,1999-01-06
2.4375,1999-01-07
2.484375,1999-01-08
2.3125,1999-01-11
2.375,1999-01-12
2.5625,1999-01-13
2.5,1999-01-14
2.5625,1999-01-15
2.5,1999-01-19
2.59375,1999-01-20
2.59375,1999-01-21
2.53125,1999-01-22
2.5,1999-01-25
2.46875,1999-01-26
2.3125,1999-01-27
2.3125,1999-01-28
2.3125,1999-01-29
2.40625,1999-02-01
2.375,1999-02-02
2.28125,1999-02-03
2.3125,1999-02-04
2.375,1999-02-05
2.25,1999-02-08
2.21875,1999-02-09
2.203125,1999-02-10
2.0625,1999-02-11
2.0,1999-02-12
2.03125,1999-02-16
1.96875,1999-02-17
1.96875,1999-02-18
2.0,1999-02-19
2.03125,1999-02-22
1.96875,1999-02-23
2.0,1999-02-24
2.125,1999-02-25
2.15625,1999-02-26
2.125,1999-03-01
2.03125,1999-03-02
2.0,1999-03-03
1.78125,1999-03-04
1.984375,1999-03-05
2.0,1999-03-08
1.875,1999-03-09
1.875,1999-03-10
1.875,1999-03-11
1.875,1999-03-12
1.921875,1999-03-15
1.921875,1999-03-16
1.953125,1999-03-17
1.9609379768371582,1999-03-18
1.90625,1999-03-19
1.9375,1999-03-22
1.96875,1999-03-23
1.9375,1999-03-24
1.875,1999-03-25
1.875,1999-03-26
1.8125,1999-03-29
1.78125,1999-03-30
1.71875,1999-03-31
1.8046879768371582,1999-04-01
1.859375,1999-04-05
1.75,1999-04-06
1.8125,1999-04-07
1.9375,1999-04-08
1.875,1999-04-09
1.875,1999-04-12
1.875,1999-04-13
1.8125,1999-04-14
2.0,1999-04-15
1.796875,1999-04-16
1.8125,1999-04-19
1.828125,1999-04-20
1.90625,1999-04-21
1.625,1999-04-22
2.125,1999-04-23
2.28125,1999-04-26
2.25,1999-04-27
2.28125,1999-04-28
2.4375,1999-04-29
2.21875,1999-04-30
2.125,1999-05-03
2.15625,1999-05-04
2.125,1999-05-05
2.15625,1999-05-06
2.109375,1999-05-07
2.1875,1999-05-10
2.21875,1999-05-11
2.15625,1999-05-12
2.1875,1999-05-13
2.1875,1999-05-14
2.203125,1999-05-17
2.15625,1999-05-18
2.171875,1999-05-19
2.15625,1999-05-20
2.25,1999-05-21
2.296875,1999-05-24
2.328125,1999-05-25
2.3125,1999-05-26
2.265625,1999-05-27
2.265625,1999-05-28
2.25,1999-06-01
2.21875,1999-06-02
2.265625,1999-06-03
2.28125,1999-06-04
2.40625,1999-06-07
2.46875,1999-06-08
2.4375,1999-06-09
2.46875,1999-06-10
2.46875,1999-06-11
2.421875,1999-06-14
2.125,1999-06-15
2.28125,1999-06-16
2.3125,1999-06-17
2.375,1999-06-18
2.421875,1999-06-21
2.40625,1999-06-22
2.390625,1999-06-23
2.46875,1999-06-24
2.5625,1999-06-25
2.46875,1999-06-28
2.5,1999-06-29
2.484375,1999-06-30
2.484375,1999-07-01
2.515625,1999-07-02
2.5,1999-07-06
2.515625,1999-07-07
2.53125,1999-07-08
2.5,1999-07-09
2.53125,1999-07-12
2.5625,1999-07-13
2.5625,1999-07-14
2.578125,1999-07-15
2.59375,1999-07-16
2.578125,1999-07-19
2.578125,1999-07-20
2.585937976837158,1999-07-21
2.5625,1999-07-22
2.492187976837158,1999-07-23
2.328125,1999-07-26
2.3125,1999-07-27
2.34375,1999-07-28
2.34375,1999-07-29
2.328125,1999-07-30
2.375,1999-08-02
2.5,1999-08-03
2.46875,1999-08-04
2.5,1999-08-05
2.5,1999-08-06
2.515625,1999-08-09
2.46875,1999-08-10
2.578125,1999-08-11
2.5,1999-08-12
2.53125,1999-08-13
2.546875,1999-08-16
2.53125,1999-08-17
2.578125,1999-08-18
2.46875,1999-08-19
2.46875,1999-08-20
2.34375,1999-08-23
2.203125,1999-08-24
2.25,1999-08-25
2.34375,1999-08-26
2.40625,1999-08-27
2.390625,1999-08-30
2.359375,1999-08-31
2.453125,1999-09-01
2.40625,1999-09-02
2.40625,1999-09-03
2.375,1999-09-07
2.375,1999-09-08
2.359375,1999-09-09
2.359375,1999-09-10
2.375,1999-09-13
2.390625,1999-09-14
2.390625,1999-09-15
2.390625,1999-09-16
2.421875,1999-09-17
2.46875,1999-09-20
2.484375,1999-09-21
2.5,1999-09-22
2.484375,1999-09-23
2.390625,1999-09-24
2.359375,1999-09-27
2.4375,1999-09-28
2.375,1999-09-29
2.46875,1999-09-30
2.46875,1999-10-01
2.4375,1999-10-04
2.3125,1999-10-05
2.25,1999-10-06
2.25,1999-10-07
2.265625,1999-10-08
2.21875,1999-10-11
2.234375,1999-10-12
2.25,1999-10-13
2.265625,1999-10-14
2.21875,1999-10-15
2.21875,1999-10-18
2.21875,1999-10-19
2.25,1999-10-20
2.226562976837158,1999-10-21
2.21875,1999-10-22
2.25,1999-10-25
2.25,1999-10-26
2.25,1999-10-27
2.265625,1999-10-28
2.265625,1999-10-29
2.25,1999-11-01
2.234375,1999-11-02
2.1875,1999-11-03
2.265625,1999-11-04
2.265625,1999-11-05
2.1875,1999-11-08
2.25,1999-11-09
2.25,1999-11-10
2.25,1999-11-11
2.203125,1999-11-12
2.203125,1999-11-15
2.226562976837158,1999-11-16
2.265625,1999-11-17
2.25,1999-11-18
2.21875,1999-11-19
2.25,1999-11-22
2.265625,1999-11-23
2.265625,1999-11-24
2.3125,1999-11-26
2.234375,1999-11-29
2.3125,1999-11-30
2.359375,1999-12-01
2.5625,1999-12-02
2.5625,1999-12-03
2.59375,1999-12-06
2.75,1999-12-07
2.75,1999-12-08
2.796875,1999-12-09
2.828125,1999-12-10
2.96875,1999-12-13
2.859375,1999-12-14
2.75,1999-12-15
2.75,1999-12-16
2.75,1999-12-17
2.75,1999-12-20
2.734375,1999-12-21
2.75,1999-12-22
2.796875,1999-12-23
2.875,1999-12-27
2.8125,1999-12-28
2.765625,1999-12-29
2.796875,1999-12-30
2.75,1999-12-31
2.765625,2000-01-03
2.6875,2000-01-04
2.703125,2000-01-05
2.703125,2000-01-06
2.703125,2000-01-07
2.71875,2000-01-10
2.65625,2000-01-11
2.59375,2000-01-12
2.5,2000-01-13
2.484375,2000-01-14
2.484375,2000-01-18
2.46875,2000-01-19
2.578125,2000-01-20
2.640625,2000-01-21
2.71875,2000-01-24
2.796875,2000-01-25
2.75,2000-01-26
2.6875,2000-01-27
2.5625,2000-01-28
2.5625,2000-01-31
2.65625,2000-02-01
2.6875,2000-02-02
2.578125,2000-02-03
2.59375,2000-02-04
2.5625,2000-02-07
2.78125,2000-02-08
3.140625,2000-02-09
3.375,2000-02-10
3.140625,2000-02-11
3.140625,2000-02-14
3.078125,2000-02-15
3.109375,2000-02-16
3.328125,2000-02-17
3.28125,2000-02-18
3.21875,2000-02-22
3.375,2000-02-23
3.0,2000-02-24
3.0,2000-02-25
3.09375,2000-02-28
3.21875,2000-02-29
3.28125,2000-03-01
3.21875,2000-03-02
3.375,2000-03-03
3.4375,2000-03-06
3.578125,2000-03-07
3.5,2000-03-08
3.25,2000-03-09
3.0625,2000-03-10
3.109375,2000-03-13
3.25,2000-03-14
3.203125,2000-03-15
3.171875,2000-03-16
3.125,2000-03-17
3.078125,2000-03-20
2.796875,2000-03-21
2.46875,2000-03-22
2.625,2000-03-23
2.546875,2000-03-24
2.546875,2000-03-27
2.75,2000-03-28
2.75,2000-03-29
2.625,2000-03-30
2.6875,2000-03-31
2.546875,2000-04-03
2.484375,2000-04-04
2.703125,2000-04-05
2.75,2000-04-06
2.75,2000-04-07
2.71875,2000-04-10
2.5,2000-04-11
2.5,2000-04-12
2.46875,2000-04-13
2.171875,2000-04-14
2.203125,2000-04-17
2.25,2000-04-18
2.359375,2000-04-19
2.71875,2000-04-20
2.65625,2000-04-24
2.65625,2000-04-25
2.734375,2000-04-26
2.703125,2000-04-27
2.703125,2000-04-28
2.65625,2000-05-01
2.578125,2000-05-02
2.53125,2000-05-03
2.625,2000-05-04
2.5625,2000-05-05
2.5625,2000-05-08
2.5,2000-05-09
2.5,2000-05-10
2.5,2000-05-11
2.625,2000-05-12
2.640625,2000-05-15
2.6875,2000-05-16
2.65625,2000-05-17
2.671875,2000-05-18
2.6875,2000-05-19
2.6875,2000-05-22
2.6875,2000-05-23
2.703125,2000-05-24
2.6875,2000-05-25
2.71875,2000-05-26
2.734375,2000-05-30
2.75,2000-05-31
2.78125,2000-06-01
2.828125,2000-06-02
2.90625,2000-06-05
2.890625,2000-06-06
3.0,2000-06-07
2.9375,2000-06-08
2.9375,2000-06-09
2.8125,2000-06-12
2.8125,2000-06-13
2.828125,2000-06-14
2.8125,2000-06-15
2.796875,2000-06-16
2.8125,2000-06-19
2.765625,2000-06-20
2.8125,2000-06-21
2.839843988418579,2000-06-22
3.0,2000-06-23
2.96875,2000-06-26
2.9375,2000-06-27
2.875,2000-06-28
2.90625,2000-06-29
2.84375,2000-06-30
2.84375,2000-07-03
2.90625,2000-07-05
2.9375,2000-07-06
2.875,2000-07-07
2.925781011581421,2000-07-10
2.90625,2000-07-11
2.9375,2000-07-12
2.96875,2000-07-13
2.90625,2000-07-14
3.0,2000-07-17
3.0,2000-07-18
3.0,2000-07-19
2.828125,2000-07-20
2.9375,2000-07-21
2.875,2000-07-24
2.625,2000-07-25
2.6875,2000-07-26
2.59375,2000-07-27
2.46875,2000-07-28
2.515625,2000-07-31
2.484375,2000-08-01
2.515625,2000-08-02
2.46875,2000-08-03
2.421875,2000-08-04
2.34375,2000-08-07
2.5,2000-08-08
2.53125,2000-08-09
2.53125,2000-08-10
2.46875,2000-08-11
2.46875,2000-08-14
2.5625,2000-08-15
2.625,2000-08-16
2.578125,2000-08-17
2.46875,2000-08-18
2.5,2000-08-21
2.46875,2000-08-22
2.5,2000-08-23
2.46875,2000-08-24
2.5,2000-08-25
2.5625,2000-08-28
2.59375,2000-08-29
2.578125,2000-08-30
2.640625,2000-08-31
2.765625,2000-09-01
2.8125,2000-09-05
2.75,2000-09-06
2.8125,2000-09-07
2.84375,2000-09-08
2.828125,2000-09-11
2.84375,2000-09-12
2.875,2000-09-13
3.0,2000-09-14
2.921875,2000-09-15
2.859375,2000-09-18
2.84375,2000-09-19
2.9375,2000-09-20
2.984375,2000-09-21
3.09375,2000-09-22
3.0625,2000-09-25
3.109375,2000-09-26
3.078125,2000-09-27
3.0,2000-09-28
3.0,2000-09-29
3.0,2000-10-02
2.96875,2000-10-03
2.96875,2000-10-04
3.03125,2000-10-05
2.96875,2000-10-06
3.015625,2000-10-09
3.0,2000-10-10
3.0,2000-10-11
3.0,2000-10-12
3.0,2000-10-13
2.972656011581421,2000-10-16
3.0,2000-10-17
2.96875,2000-10-18
3.0,2000-10-19
2.96875,2000-10-20
2.8125,2000-10-23
2.875,2000-10-24
2.75,2000-10-25
2.8125,2000-10-26
2.890625,2000-10-27
2.875,2000-10-30
2.90625,2000-10-31
2.90625,2000-11-01
2.90625,2000-11-02
2.90625,2000-11-03
2.9375,2000-11-06
2.8125,2000-11-07
2.875,2000-11-08
2.75,2000-11-09
2.5,2000-11-10
2.5625,2000-11-13
2.53125,2000-11-14
2.5625,2000-11-15
2.5625,2000-11-16
2.609375,2000-11-17
2.65625,2000-11-20
2.515625,2000-11-21
2.5625,2000-11-22
2.5625,2000-11-24
2.5,2000-11-27
2.5,2000-11-28
2.546875,2000-11-29
2.53125,2000-11-30
2.546875,2000-12-01
2.515625,2000-12-04
2.515625,2000-12-05
2.359375,2000-12-06
2.421875,2000-12-07
2.53125,2000-12-08
2.546875,2000-12-11
2.515625,2000-12-12
2.46875,2000-12-13
2.5,2000-12-14
2.515625,2000-12-15
2.546875,2000-12-18
2.523437976837158,2000-12-19
2.4375,2000-12-20
2.421875,2000-12-21
2.5,2000-12-22
2.5625,2000-12-26
2.5,2000-12-27
2.578125,2000-12-28
2.8125,2000-12-29
2.9375,2001-01-02
2.984375,2001-01-03
3.015625,2001-01-04
3.015625,2001-01-05
2.546875,2001-01-08
2.53125,2001-01-09
2.546875,2001-01-10
2.65625,2001-01-11
2.609375,2001-01-12
2.828125,2001-01-16
2.984375,2001-01-17
2.9375,2001-01-18
2.75,2001-01-19
2.699218988418579,2001-01-22
2.625,2001-01-23
2.65625,2001-01-24
2.6875,2001-01-25
2.6875,2001-01-26
2.6875,2001-01-29
2.65625,2001-01-30
2.65625,2001-01-31
2.65625,2001-02-01
2.859375,2001-02-02
2.859375,2001-02-05
3.15625,2001-02-06
3.40625,2001-02-07
3.34375,2001-02-08
3.265625,2001-02-09
3.140625,2001-02-12
3.15625,2001-02-13
3.171875,2001-02-14
3.15625,2001-02-15
3.0,2001-02-16
3.078125,2001-02-20
2.875,2001-02-21
2.84375,2001-02-22
2.671875,2001-02-23
2.5625,2001-02-26
2.703125,2001-02-27
2.75,2001-02-28
2.8125,2001-03-01
2.96875,2001-03-02
3.03125,2001-03-05
3.0,2001-03-06
