REGN,Date
21.125,1991-04-02
18.25,1991-04-03
18.0,1991-04-04
17.75,1991-04-05
17.625,1991-04-08
16.0,1991-04-09
15.875,1991-04-10
14.75,1991-04-11
16.25,1991-04-12
16.125,1991-04-15
16.125,1991-04-16
15.25,1991-04-17
15.25,1991-04-18
14.875,1991-04-19
14.125,1991-04-22
14.25,1991-04-23
14.75,1991-04-24
14.5,1991-04-25
14.375,1991-04-26
12.5,1991-04-29
12.625,1991-04-30
13.5,1991-05-01
13.5,1991-05-02
13.375,1991-05-03
13.625,1991-05-06
13.375,1991-05-07
13.25,1991-05-08
13.625,1991-05-09
12.75,1991-05-10
11.5,1991-05-13
11.875,1991-05-14
10.75,1991-05-15
11.25,1991-05-16
11.75,1991-05-17
11.375,1991-05-20
12.25,1991-05-21
12.125,1991-05-22
11.875,1991-05-23
12.25,1991-05-24
12.0,1991-05-28
12.625,1991-05-29
12.25,1991-05-30
12.25,1991-05-31
11.75,1991-06-03
12.125,1991-06-04
11.875,1991-06-05
11.875,1991-06-06
11.625,1991-06-07
11.625,1991-06-10
11.625,1991-06-11
11.0,1991-06-12
10.375,1991-06-13
11.0,1991-06-14
10.875,1991-06-17
11.25,1991-06-18
11.5,1991-06-19
12.0,1991-06-20
12.0,1991-06-21
11.5,1991-06-24
11.125,1991-06-25
11.0,1991-06-26
11.25,1991-06-27
11.125,1991-06-28
11.125,1991-07-01
10.625,1991-07-02
10.5,1991-07-03
10.25,1991-07-05
10.25,1991-07-08
10.75,1991-07-09
10.5,1991-07-10
10.875,1991-07-11
10.5,1991-07-12
11.25,1991-07-15
10.75,1991-07-16
10.75,1991-07-17
11.0,1991-07-18
11.0,1991-07-19
10.5,1991-07-22
10.5,1991-07-23
10.25,1991-07-24
9.875,1991-07-25
10.25,1991-07-26
10.25,1991-07-29
10.625,1991-07-30
11.5,1991-07-31
11.25,1991-08-01
11.25,1991-08-02
11.5,1991-08-05
10.75,1991-08-06
10.875,1991-08-07
10.75,1991-08-08
10.625,1991-08-09
10.625,1991-08-12
10.625,1991-08-13
10.25,1991-08-14
10.75,1991-08-15
10.875,1991-08-16
10.125,1991-08-19
10.375,1991-08-20
10.625,1991-08-21
10.5,1991-08-22
10.5,1991-08-23
10.5,1991-08-26
10.375,1991-08-27
10.5,1991-08-28
12.0,1991-08-29
11.5,1991-08-30
12.375,1991-09-03
12.875,1991-09-04
13.375,1991-09-05
12.875,1991-09-06
12.75,1991-09-09
12.5,1991-09-10
12.25,1991-09-11
13.125,1991-09-12
13.25,1991-09-13
13.0,1991-09-16
13.0,1991-09-17
12.625,1991-09-18
16.0,1991-09-19
16.125,1991-09-20
15.0,1991-09-23
14.5,1991-09-24
14.5,1991-09-25
14.25,1991-09-26
14.75,1991-09-27
14.75,1991-09-30
14.25,1991-10-01
15.0,1991-10-02
15.25,1991-10-03
15.75,1991-10-04
15.0,1991-10-07
15.5,1991-10-08
16.125,1991-10-09
16.0,1991-10-10
15.75,1991-10-11
16.0,1991-10-14
17.5,1991-10-15
18.25,1991-10-16
17.0,1991-10-17
17.25,1991-10-18
17.75,1991-10-21
18.75,1991-10-22
18.5,1991-10-23
17.5,1991-10-24
18.125,1991-10-25
18.0,1991-10-28
17.75,1991-10-29
19.5,1991-10-30
19.25,1991-10-31
19.0,1991-11-01
17.75,1991-11-04
17.875,1991-11-05
18.0,1991-11-06
19.25,1991-11-07
20.0,1991-11-08
20.5,1991-11-11
20.0,1991-11-12
19.75,1991-11-13
18.5,1991-11-14
14.75,1991-11-15
15.75,1991-11-18
15.125,1991-11-19
15.25,1991-11-20
14.5,1991-11-21
14.375,1991-11-22
14.75,1991-11-25
14.25,1991-11-26
14.75,1991-11-27
15.75,1991-11-29
15.75,1991-12-02
15.75,1991-12-03
15.75,1991-12-04
15.75,1991-12-05
16.25,1991-12-06
16.0,1991-12-09
15.0,1991-12-10
14.625,1991-12-11
14.75,1991-12-12
15.75,1991-12-13
15.5,1991-12-16
17.0,1991-12-17
17.0,1991-12-18
16.75,1991-12-19
16.5,1991-12-20
16.75,1991-12-23
17.5,1991-12-24
18.0,1991-12-26
17.5,1991-12-27
17.25,1991-12-30
18.125,1991-12-31
18.75,1992-01-02
18.25,1992-01-03
18.5,1992-01-06
18.375,1992-01-07
18.0,1992-01-08
19.5,1992-01-09
19.75,1992-01-10
19.25,1992-01-13
19.875,1992-01-14
19.5,1992-01-15
18.5,1992-01-16
18.5,1992-01-17
18.25,1992-01-20
17.0,1992-01-21
18.25,1992-01-22
20.25,1992-01-23
20.25,1992-01-24
20.0,1992-01-27
20.0,1992-01-28
20.0,1992-01-29
20.0,1992-01-30
20.5,1992-01-31
21.25,1992-02-03
21.25,1992-02-04
22.25,1992-02-05
22.5,1992-02-06
22.25,1992-02-07
22.125,1992-02-10
21.25,1992-02-11
