Date,ALXN
2003-01-02,3.625
2003-01-03,3.6375
2003-01-06,3.65
2003-01-07,3.6275
2003-01-08,3.51
2003-01-09,3.5875
2003-01-10,3.5975
2003-01-13,3.6025
2003-01-14,3.655
2003-01-15,3.5875
2003-01-16,3.6125
2003-01-17,3.55
2003-01-21,3.3975
2003-01-22,3.355
2003-01-23,3.28
2003-01-24,3.17
2003-01-27,3.0575
2003-01-28,3.175
2003-01-29,3.1525
2003-01-30,3.075
2003-01-31,3.1475
2003-02-03,2.99
2003-02-04,2.8875
2003-02-05,2.8475
2003-02-06,2.845
2003-02-07,2.8775
2003-02-10,2.8975
2003-02-11,2.7875
2003-02-12,2.76
2003-02-13,2.8025
2003-02-14,2.7975
2003-02-18,2.885
2003-02-19,2.8425
2003-02-20,2.8525
2003-02-21,2.9075
2003-02-24,2.855
2003-02-25,2.865
2003-02-26,2.7975
2003-02-27,2.805
2003-02-28,2.7525
2003-03-03,2.8275
2003-03-04,2.685
2003-03-05,2.6275
2003-03-06,2.65
2003-03-07,2.585
2003-03-10,2.615
2003-03-11,2.75
2003-03-12,2.63
2003-03-13,2.6625
2003-03-14,2.6625
2003-03-17,2.945
2003-03-18,3.165
2003-03-19,3.2025
2003-03-20,3.365
2003-03-21,3.355
2003-03-24,3.295
2003-03-25,3.23
2003-03-26,3.1325
2003-03-27,3.0825
2003-03-28,3.09
2003-03-31,3.04
2003-04-01,3.19
2003-04-02,3.4025
2003-04-03,3.5625
2003-04-04,3.525
2003-04-07,3.2625
2003-04-08,3.3025
2003-04-09,3.265
2003-04-10,3.25
2003-04-11,3.2675
2003-04-14,3.28
2003-04-15,3.33
2003-04-16,3.1825
2003-04-17,3.31
2003-04-21,3.235
2003-04-22,3.3875
2003-04-23,3.515
2003-04-24,3.3425
2003-04-25,3.2275
2003-04-28,3.35
2003-04-29,3.31
2003-04-30,3.2875
2003-05-01,3.3725
2003-05-02,3.475
2003-05-05,3.4025
2003-05-06,3.3475
2003-05-07,3.2275
2003-05-08,3.2475
2003-05-09,3.3025
2003-05-12,3.3825
2003-05-13,3.515
2003-05-14,3.56
2003-05-15,3.535
2003-05-16,3.46
2003-05-19,3.4325
2003-05-20,3.375
2003-05-21,3.385
2003-05-22,3.32
2003-05-23,3.3
2003-05-27,3.55
2003-05-28,3.4675
2003-05-29,3.4225
2003-05-30,3.5025
2003-06-02,3.525
2003-06-03,3.6725
2003-06-04,3.815
2003-06-05,4.3375
2003-06-06,4.4775
2003-06-09,4.47
2003-06-10,4.4775
2003-06-11,4.5475
2003-06-12,4.7775
2003-06-13,4.75
2003-06-16,4.9
2003-06-17,5.0025
2003-06-18,4.6225
2003-06-19,4.3275
2003-06-20,4.3425
2003-06-23,4.23
2003-06-24,4.065
2003-06-25,4.08
2003-06-26,4.1975
2003-06-27,4.36
2003-06-30,4.2975
2003-07-01,4.2075
2003-07-02,4.34
2003-07-03,4.315
2003-07-07,4.4325
2003-07-08,4.795
2003-07-09,4.6625
2003-07-10,4.7125
2003-07-11,4.8575
2003-07-14,4.76
2003-07-15,4.7025
2003-07-16,4.6425
2003-07-17,4.455
2003-07-18,4.3975
2003-07-21,4.37
2003-07-22,4.5025
2003-07-23,4.4275
2003-07-24,4.2625
2003-07-25,4.1825
2003-07-28,4.3125
2003-07-29,4.35
2003-07-30,4.1875
2003-07-31,4.2025
2003-08-01,3.995
2003-08-04,4.0
2003-08-05,3.145
2003-08-06,3.12
2003-08-07,3.175
2003-08-08,3.16
2003-08-11,3.1
2003-08-12,3.1375
2003-08-13,3.15
