HAL,Date
1.320675253868103,1972-06-01
1.3306432962417603,1972-06-02
1.2825137376785278,1972-06-05
1.2791820764541626,1972-06-06
1.274185299873352,1972-06-07
1.2691880464553833,1972-06-08
1.2625267505645752,1972-06-09
1.2625267505645752,1972-06-12
1.2558640241622925,1972-06-13
1.2658569812774658,1972-06-14
1.274185299873352,1972-06-15
1.2808482646942139,1972-06-16
1.2941724061965942,1972-06-19
1.2908408641815186,1972-06-20
1.2958383560180664,1972-06-21
1.3025003671646118,1972-06-22
1.3224873542785645,1972-06-23
1.3224873542785645,1972-06-26
1.3324822187423706,1972-06-27
1.3324822187423706,1972-06-28
1.3391438722610474,1972-06-29
1.3291504383087158,1972-06-30
1.3191567659378052,1972-07-03
1.3191567659378052,1972-07-05
1.3158247470855713,1972-07-06
1.2991695404052734,1972-07-07
1.312494158744812,1972-07-10
1.3025003671646118,1972-07-11
1.2791820764541626,1972-07-12
1.277516484260559,1972-07-13
1.3025003671646118,1972-07-14
1.2991695404052734,1972-07-17
1.2991695404052734,1972-07-18
1.305831789970398,1972-07-19
1.2925068140029907,1972-07-20
1.3025003671646118,1972-07-21
1.3025003671646118,1972-07-24
1.3191567659378052,1972-07-25
1.3141599893569946,1972-07-26
1.3324822187423706,1972-07-27
1.3391438722610474,1972-07-28
1.3391438722610474,1972-07-31
1.352469563484192,1972-08-01
1.4090999364852905,1972-08-02
1.445742130279541,1972-08-03
1.4590680599212646,1972-08-04
1.4490734338760376,1972-08-07
1.4873813390731812,1972-08-08
1.4923781156539917,1972-08-09
1.510701060295105,1972-08-10
1.5456784963607788,1972-08-11
1.5590041875839233,1972-08-14
1.549009919166565,1972-08-15
1.532353401184082,1972-08-16
1.532353401184082,1972-08-17
1.532353401184082,1972-08-18
1.510701060295105,1972-08-21
1.5256913900375366,1972-08-22
1.5290231704711914,1972-08-23
1.510701060295105,1972-08-24
1.4357492923736572,1972-08-25
1.4274208545684814,1972-08-28
1.4157618284225464,1972-08-29
1.4474085569381714,1972-08-30
1.4923781156539917,1972-08-31
1.5059101581573486,1972-09-01
1.485874056816101,1972-09-05
1.4842047691345215,1972-09-06
1.485874056816101,1972-09-07
1.4708490371704102,1972-09-08
1.472519040107727,1972-09-11
1.445806622505188,1972-09-12
1.4491454362869263,1972-09-13
1.4558230638504028,1972-09-14
1.4558230638504028,1972-09-15
1.4524844884872437,1972-09-18
1.4474750757217407,1972-09-19
1.4341200590133667,1972-09-20
1.4241026639938354,1972-09-21
1.4524844884872437,1972-09-22
1.4558230638504028,1972-09-25
1.4658399820327759,1972-09-26
1.5059101581573486,1972-09-27
1.5559947490692139,1972-09-28
1.584376573562622,1972-09-29
1.572689414024353,1972-10-02
1.6044108867645264,1972-10-03
1.6094183921813965,1972-10-04
1.576029658317566,1972-10-05
1.5543252229690552,1972-10-06
1.5676816701889038,1972-10-09
1.6027405261993408,1972-10-10
1.6027405261993408,1972-10-11
1.5994020700454712,1972-10-12
1.5960637331008911,1972-10-13
1.584376573562622,1972-10-16
1.584376573562622,1972-10-17
1.6244455575942993,1972-10-18
1.6244455575942993,1972-10-19
1.637801170349121,1972-10-20
1.6661839485168457,1972-10-23
1.6695215702056885,1972-10-24
1.6561663150787354,1972-10-25
1.6294540166854858,1972-10-26
1.642809271812439,1972-10-27
1.6578360795974731,1972-10-30
1.7029118537902832,1972-10-31
1.7363029718399048,1972-11-01
1.7446504831314087,1972-11-02
1.7897275686264038,1972-11-03
1.8014137744903564,1972-11-06
1.8080921173095703,1972-11-08
1.8131009340286255,1972-11-09
1.8131009340286255,1972-11-10
1.8181099891662598,1972-11-13
1.7863898277282715,1972-11-14
1.7463200092315674,1972-11-15
1.734634518623352,1972-11-16
1.717939019203186,1972-11-17
1.7145986557006836,1972-11-20
1.717939019203186,1972-11-21
1.7363029718399048,1972-11-22
1.7363029718399048,1972-11-24
1.7246161699295044,1972-11-27
1.7095917463302612,1972-11-28
1.7095917463302612,1972-11-29
1.7079213857650757,1972-11-30
1.7463200092315674,1972-12-01
1.7866437435150146,1972-12-04
