AFL,Date
0.05964349955320358,1980-03-17
0.05964349955320358,1980-03-18
0.05964349955320358,1980-03-19
0.05571981891989708,1980-03-20
0.05179609730839729,1980-03-21
0.047087181359529495,1980-03-24
0.050226304680109024,1980-03-25
0.05415051802992821,1980-03-26
0.05258074030280113,1980-03-27
0.05415051802992821,1980-03-28
0.05493517592549324,1980-03-31
0.05571981891989708,1980-04-01
0.05493517592549324,1980-04-02
0.05415051802992821,1980-04-03
0.05415051802992821,1980-04-07
0.05336536839604378,1980-04-08
0.05493517592549324,1980-04-09
0.05571981891989708,1980-04-10
0.05493517592549324,1980-04-11
0.05493517592549324,1980-04-14
0.05493517592549324,1980-04-15
0.05336536839604378,1980-04-16
0.05179609730839729,1980-04-17
0.05258074030280113,1980-04-18
0.05493517592549324,1980-04-21
0.05493517592549324,1980-04-22
0.05493517592549324,1980-04-23
0.05493517592549324,1980-04-24
0.05415051802992821,1980-04-25
0.050226304680109024,1980-04-28
0.051010921597480774,1980-04-29
0.051010921597480774,1980-04-30
0.04944164678454399,1980-05-01
0.051010921597480774,1980-05-02
0.04865701124072075,1980-05-05
0.04944164678454399,1980-05-06
0.04865701124072075,1980-05-07
0.050226304680109024,1980-05-08
0.04944164678454399,1980-05-09
0.04865701124072075,1980-05-12
0.04865701124072075,1980-05-13
0.04787184298038483,1980-05-14
0.04787184298038483,1980-05-15
0.047087181359529495,1980-05-16
0.04551742598414421,1980-05-19
0.047087181359529495,1980-05-20
0.04630255326628685,1980-05-21
0.04630255326628685,1980-05-22
0.04944164678454399,1980-05-23
0.04944164678454399,1980-05-27
0.047087181359529495,1980-05-28
0.047087181359529495,1980-05-29
0.04865701124072075,1980-05-30
0.04865701124072075,1980-06-02
0.050226304680109024,1980-06-03
0.050226304680109024,1980-06-04
0.04944164678454399,1980-06-05
0.050226304680109024,1980-06-06
0.04865701124072075,1980-06-09
0.04944164678454399,1980-06-10
0.05179609730839729,1980-06-11
0.05415051802992821,1980-06-12
0.05415051802992821,1980-06-13
0.05179609730839729,1980-06-16
0.051010921597480774,1980-06-17
0.05336536839604378,1980-06-18
0.05179609730839729,1980-06-19
0.05336536839604378,1980-06-20
0.051010921597480774,1980-06-23
0.05179609730839729,1980-06-24
0.050226304680109024,1980-06-25
0.050226304680109024,1980-06-26
0.05258074030280113,1980-06-27
0.05336536839604378,1980-06-30
0.05258074030280113,1980-07-01
0.05336536839604378,1980-07-02
0.05336536839604378,1980-07-03
0.05179609730839729,1980-07-07
0.05258074030280113,1980-07-08
0.05258074030280113,1980-07-09
0.051010921597480774,1980-07-10
0.05258074030280113,1980-07-11
0.051010921597480774,1980-07-14
0.051010921597480774,1980-07-15
0.05179609730839729,1980-07-16
0.05258074030280113,1980-07-17
0.05415051802992821,1980-07-18
0.05336536839604378,1980-07-21
0.05179609730839729,1980-07-22
0.05179609730839729,1980-07-23
0.051010921597480774,1980-07-24
0.050226304680109024,1980-07-25
0.050226304680109024,1980-07-28
0.04944164678454399,1980-07-29
0.050226304680109024,1980-07-30
0.050226304680109024,1980-07-31
0.050226304680109024,1980-08-01
0.04865701124072075,1980-08-04
0.04865701124072075,1980-08-05
0.050226304680109024,1980-08-06
0.050226304680109024,1980-08-07
0.050226304680109024,1980-08-08
0.04865701124072075,1980-08-11
0.050226304680109024,1980-08-12
0.050226304680109024,1980-08-13
0.04865701124072075,1980-08-14
0.04944164678454399,1980-08-15
0.04944164678454399,1980-08-18
0.04944164678454399,1980-08-19
0.04865701124072075,1980-08-20
0.04944164678454399,1980-08-21
0.051010921597480774,1980-08-22
0.051010921597480774,1980-08-25
0.050226304680109024,1980-08-26
0.050226304680109024,1980-08-27
0.050226304680109024,1980-08-28
0.05179609730839729,1980-08-29
0.051010921597480774,1980-09-02
0.050226304680109024,1980-09-03
0.051010921597480774,1980-09-04
0.051010921597480774,1980-09-05
0.050226304680109024,1980-09-08
0.050226304680109024,1980-09-09
0.051010921597480774,1980-09-10
0.04944164678454399,1980-09-11
0.04944164678454399,1980-09-12
