^NDX,Date
112.13999938964844,1985-10-01
110.82499694824219,1985-10-02
110.87000274658203,1985-10-03
110.07499694824219,1985-10-04
108.19999694824219,1985-10-07
107.16000366210938,1985-10-08
108.62999725341797,1985-10-09
109.43499755859375,1985-10-10
111.05000305175781,1985-10-11
113.18499755859375,1985-10-14
113.37999725341797,1985-10-15
114.31500244140625,1985-10-16
114.73999786376953,1985-10-17
114.31999969482422,1985-10-18
113.68000030517578,1985-10-21
114.44000244140625,1985-10-22
115.06500244140625,1985-10-23
115.48500061035156,1985-10-24
113.91000366210938,1985-10-25
113.81999969482422,1985-10-28
115.4000015258789,1985-10-29
115.7699966430664,1985-10-30
115.4800033569336,1985-10-31
116.2750015258789,1985-11-01
116.04000091552734,1985-11-04
116.44000244140625,1985-11-05
117.37999725341797,1985-11-06
117.62000274658203,1985-11-07
119.26000213623047,1985-11-08
120.4000015258789,1985-11-11
121.81999969482422,1985-11-12
121.16500091552734,1985-11-13
121.83499908447266,1985-11-14
122.17500305175781,1985-11-15
121.95500183105469,1985-11-18
122.56999969482422,1985-11-19
122.19999694824219,1985-11-20
123.61000061035156,1985-11-21
123.97000122070312,1985-11-22
123.13500213623047,1985-11-25
123.94999694824219,1985-11-26
125.7699966430664,1985-11-27
126.05999755859375,1985-11-29
125.18499755859375,1985-12-02
125.2300033569336,1985-12-03
127.94000244140625,1985-12-04
128.4600067138672,1985-12-05
126.95500183105469,1985-12-06
127.48500061035156,1985-12-09
127.9749984741211,1985-12-10
129.17999267578125,1985-12-11
129.76499938964844,1985-12-12
132.125,1985-12-13
132.61000061035156,1985-12-16
131.53500366210938,1985-12-17
131.13999938964844,1985-12-18
131.9250030517578,1985-12-19
132.25999450683594,1985-12-20
130.72500610351562,1985-12-23
130.02999877929688,1985-12-24
130.34500122070312,1985-12-26
131.48500061035156,1985-12-27
131.94500732421875,1985-12-30
132.2949981689453,1985-12-31
131.2550048828125,1986-01-02
130.5500030517578,1986-01-03
130.35499572753906,1986-01-06
132.7899932861328,1986-01-07
131.16000366210938,1986-01-08
128.8000030517578,1986-01-09
129.56500244140625,1986-01-10
129.09500122070312,1986-01-13
129.17999267578125,1986-01-14
131.53500366210938,1986-01-15
133.05999755859375,1986-01-16
132.77000427246094,1986-01-17
131.60499572753906,1986-01-20
131.08999633789062,1986-01-21
129.61500549316406,1986-01-22
129.27000427246094,1986-01-23
130.1999969482422,1986-01-24
130.7949981689453,1986-01-27
131.99000549316406,1986-01-28
133.05999755859375,1986-01-29
132.19000244140625,1986-01-30
132.9250030517578,1986-01-31
134.24000549316406,1986-02-03
134.60000610351562,1986-02-04
135.71499633789062,1986-02-05
136.63999938964844,1986-02-06
137.4199981689453,1986-02-07
138.125,1986-02-10
138.25999450683594,1986-02-11
138.6649932861328,1986-02-12
139.1649932861328,1986-02-13
140.16000366210938,1986-02-14
140.73500061035156,1986-02-18
139.63999938964844,1986-02-19
139.94500732421875,1986-02-20
141.14500427246094,1986-02-21
140.1999969482422,1986-02-24
139.39999389648438,1986-02-25
138.875,1986-02-26
140.52499389648438,1986-02-27
140.4250030517578,1986-02-28
139.74000549316406,1986-03-03
140.5449981689453,1986-03-04
140.2449951171875,1986-03-05
140.8000030517578,1986-03-06
140.7100067138672,1986-03-07
142.43499755859375,1986-03-10
145.34500122070312,1986-03-11
146.6199951171875,1986-03-12
147.00999450683594,1986-03-13
147.0,1986-03-14
146.36500549316406,1986-03-17
147.625,1986-03-18
147.47500610351562,1986-03-19
147.8000030517578,1986-03-20
148.0050048828125,1986-03-21
147.08999633789062,1986-03-24
147.48500061035156,1986-03-25
147.2550048828125,1986-03-26
148.375,1986-03-27
148.86000061035156,1986-03-31
148.4499969482422,1986-04-01
148.9199981689453,1986-04-02
148.7100067138672,1986-04-03
147.03500366210938,1986-04-04
146.05499267578125,1986-04-07
148.92999267578125,1986-04-08
149.05499267578125,1986-04-09
151.76499938964844,1986-04-10
152.6649932861328,1986-04-11
153.9250030517578,1986-04-14
154.9199981689453,1986-04-15
158.89500427246094,1986-04-16
159.05499267578125,1986-04-17
157.66000366210938,1986-04-18
158.52499389648438,1986-04-21
157.86000061035156,1986-04-22
157.4600067138672,1986-04-23
159.85499572753906,1986-04-24
160.4600067138672,1986-04-25
159.89999389648438,1986-04-28
158.25,1986-04-29
154.91000366210938,1986-04-30
154.2050018310547,1986-05-01
155.00999450683594,1986-05-02
157.13999938964844,1986-05-05
157.125,1986-05-06
156.2550048828125,1986-05-07
157.16000366210938,1986-05-08
157.9149932861328,1986-05-09
157.75,1986-05-12
157.0500030517578,1986-05-13
157.0050048828125,1986-05-14
155.76499938964844,1986-05-15
154.9949951171875,1986-05-16
155.30999755859375,1986-05-19
157.00999450683594,1986-05-20
157.44000244140625,1986-05-21
159.6300048828125,1986-05-22
160.1649932861328,1986-05-23
161.1750030517578,1986-05-27
161.30499267578125,1986-05-28
161.6199951171875,1986-05-29
163.16000366210938,1986-05-30
162.02999877929688,1986-06-02
162.11000061035156,1986-06-03
161.8249969482422,1986-06-04
162.36000061035156,1986-06-05
161.88499450683594,1986-06-06
158.61000061035156,1986-06-09
158.10499572753906,1986-06-10
160.03500366210938,1986-06-11
160.36500549316406,1986-06-12
162.35499572753906,1986-06-13
160.8000030517578,1986-06-16
158.5749969482422,1986-06-17
158.47999572753906,1986-06-18
159.27999877929688,1986-06-19
159.5850067138672,1986-06-20
159.55499267578125,1986-06-23
160.8000030517578,1986-06-24
162.0,1986-06-25
161.72000122070312,1986-06-26
161.61500549316406,1986-06-27
162.61500549316406,1986-06-30
163.3249969482422,1986-07-01
163.9600067138672,1986-07-02
164.51499938964844,1986-07-03
157.625,1986-07-07
153.25999450683594,1986-07-08
155.41000366210938,1986-07-09
154.2899932861328,1986-07-10
152.85499572753906,1986-07-11
149.28500366210938,1986-07-14
146.2550048828125,1986-07-15
147.39500427246094,1986-07-16
148.46499633789062,1986-07-17
147.75999450683594,1986-07-18
147.0749969482422,1986-07-21
147.40499877929688,1986-07-22
147.1750030517578,1986-07-23
147.27999877929688,1986-07-24
148.25999450683594,1986-07-25
145.5050048828125,1986-07-28
144.2050018310547,1986-07-29
144.52000427246094,1986-07-30
144.7050018310547,1986-07-31
144.19000244140625,1986-08-01
142.52499389648438,1986-08-04
141.86000061035156,1986-08-05
140.5449981689453,1986-08-06
140.69500732421875,1986-08-07
142.2949981689453,1986-08-08
145.44000244140625,1986-08-11
147.05999755859375,1986-08-12
148.8350067138672,1986-08-13
149.9949951171875,1986-08-14
149.5749969482422,1986-08-15
149.07000732421875,1986-08-18
148.59500122070312,1986-08-19
149.7550048828125,1986-08-20
150.00999450683594,1986-08-21
150.94500732421875,1986-08-22
149.91000366210938,1986-08-25
151.15499877929688,1986-08-26
152.02000427246094,1986-08-27
152.0449981689453,1986-08-28
151.6999969482422,1986-08-29
149.33999633789062,1986-09-02
149.82000732421875,1986-09-03
151.39500427246094,1986-09-04
149.6699981689453,1986-09-05
146.5500030517578,1986-09-08
145.75999450683594,1986-09-09
144.74000549316406,1986-09-10
138.4600067138672,1986-09-11
135.03500366210938,1986-09-12
134.94000244140625,1986-09-15
135.2100067138672,1986-09-16
136.38999938964844,1986-09-17
138.13499450683594,1986-09-18
138.4550018310547,1986-09-19
140.1199951171875,1986-09-22
139.56500244140625,1986-09-23
139.23500061035156,1986-09-24
137.61500549316406,1986-09-25
137.5850067138672,1986-09-26
135.53500366210938,1986-09-29
137.4949951171875,1986-09-30
138.26499938964844,1986-10-01
138.22000122070312,1986-10-02
138.55499267578125,1986-10-03
139.11500549316406,1986-10-06
138.2550048828125,1986-10-07
139.26499938964844,1986-10-08
139.1649932861328,1986-10-09
139.8699951171875,1986-10-10
140.6750030517578,1986-10-13
140.96499633789062,1986-10-14
142.10000610351562,1986-10-15
141.89999389648438,1986-10-16
141.19500732421875,1986-10-17
140.10000610351562,1986-10-20
139.9250030517578,1986-10-21
140.3000030517578,1986-10-22
142.14999389648438,1986-10-23
141.96499633789062,1986-10-24
141.75999450683594,1986-10-27
142.4949951171875,1986-10-28
143.1300048828125,1986-10-29
144.77999877929688,1986-10-30
144.47999572753906,1986-10-31
144.80999755859375,1986-11-03
145.96499633789062,1986-11-04
146.17999267578125,1986-11-05
145.41000366210938,1986-11-06
144.91000366210938,1986-11-07
144.2949981689453,1986-11-10
145.35000610351562,1986-11-11
145.5800018310547,1986-11-12
143.4149932861328,1986-11-13
143.5050048828125,1986-11-14
143.19500732421875,1986-11-17
140.66000366210938,1986-11-18
139.5449981689453,1986-11-19
141.30999755859375,1986-11-20
142.89999389648438,1986-11-21
144.4949951171875,1986-11-24
145.77000427246094,1986-11-25
146.8699951171875,1986-11-26
147.94000244140625,1986-11-28
146.85499572753906,1986-12-01
148.86500549316406,1986-12-02
150.0800018310547,1986-12-03
149.97999572753906,1986-12-04
149.0449981689453,1986-12-05
147.84500122070312,1986-12-08
146.86500549316406,1986-12-09
146.9550018310547,1986-12-10
146.0800018310547,1986-12-11
144.97999572753906,1986-12-12
144.0749969482422,1986-12-15
144.49000549316406,1986-12-16
143.0449981689453,1986-12-17
142.85499572753906,1986-12-18
143.77000427246094,1986-12-19
144.0850067138672,1986-12-22
142.80499267578125,1986-12-23
142.7949981689453,1986-12-24
142.93499755859375,1986-12-26
141.51499938964844,1986-12-29
141.52499389648438,1986-12-30
141.40499877929688,1986-12-31
142.86000061035156,1987-01-02
147.40499877929688,1987-01-05
149.05999755859375,1987-01-06
152.97500610351562,1987-01-07
155.69000244140625,1987-01-08
156.99000549316406,1987-01-09
159.30499267578125,1987-01-12
159.6199951171875,1987-01-13
162.66000366210938,1987-01-14
164.14500427246094,1987-01-15
162.51499938964844,1987-01-16
166.4550018310547,1987-01-19
166.52000427246094,1987-01-20
164.25999450683594,1987-01-21
167.94500732421875,1987-01-22
166.76499938964844,1987-01-23
164.13999938964844,1987-01-26
166.65499877929688,1987-01-27
167.625,1987-01-28
165.74000549316406,1987-01-29
166.6750030517578,1987-01-30
170.30499267578125,1987-02-02
171.55499267578125,1987-02-03
173.5,1987-02-04
