BIO,Date
2.5462958812713623,1980-02-27
2.5462958812713623,1980-02-28
2.65740704536438,1980-02-29
2.65740704536438,1980-03-03
2.564815044403076,1980-03-04
2.564815044403076,1980-03-05
2.564815044403076,1980-03-06
2.1296300888061523,1980-03-07
2.1388890743255615,1980-03-10
2.1296300888061523,1980-03-11
2.064815044403076,1980-03-12
2.027777910232544,1980-03-13
2.027777910232544,1980-03-14
2.0,1980-03-17
2.0,1980-03-18
1.9259259700775146,1980-03-19
1.9259259700775146,1980-03-20
1.8703700304031372,1980-03-21
1.8333330154418945,1980-03-24
1.8333330154418945,1980-03-25
1.8518520593643188,1980-03-26
1.7962960004806519,1980-03-27
1.8148150444030762,1980-03-28
1.7962960004806519,1980-03-31
1.7777780294418335,1980-04-01
1.7962960004806519,1980-04-02
1.7962960004806519,1980-04-03
1.7777780294418335,1980-04-07
1.7407410144805908,1980-04-08
1.7407410144805908,1980-04-09
1.6851849555969238,1980-04-10
1.6851849555969238,1980-04-11
1.6296299695968628,1980-04-14
1.6666669845581055,1980-04-15
1.6851849555969238,1980-04-16
1.6666669845581055,1980-04-17
1.6851849555969238,1980-04-18
1.7037039995193481,1980-04-21
1.7592589855194092,1980-04-22
1.7592589855194092,1980-04-23
1.7962960004806519,1980-04-24
1.7962960004806519,1980-04-25
1.8148150444030762,1980-04-28
1.8703700304031372,1980-04-29
1.8333330154418945,1980-04-30
1.8703700304031372,1980-05-01
1.888888955116272,1980-05-02
1.944443941116333,1980-05-05
2.0,1980-05-06
2.0740740299224854,1980-05-07
2.0185189247131348,1980-05-08
2.0185189247131348,1980-05-09
2.037036895751953,1980-05-12
2.0185189247131348,1980-05-13
2.055556058883667,1980-05-14
2.037036895751953,1980-05-15
2.0185189247131348,1980-05-16
2.0,1980-05-19
1.9629629850387573,1980-05-20
1.9629629850387573,1980-05-21
1.8518520593643188,1980-05-22
1.9259259700775146,1980-05-23
1.8703700304031372,1980-05-27
1.888888955116272,1980-05-28
1.8703700304031372,1980-05-29
1.8703700304031372,1980-05-30
1.888888955116272,1980-06-02
1.8518520593643188,1980-06-03
1.8333330154418945,1980-06-04
1.9629629850387573,1980-06-05
1.8703700304031372,1980-06-06
1.7962960004806519,1980-06-09
1.7962960004806519,1980-06-10
1.7962960004806519,1980-06-11
1.7962960004806519,1980-06-12
1.7962960004806519,1980-06-13
1.7777780294418335,1980-06-16
1.7777780294418335,1980-06-17
1.7407410144805908,1980-06-18
1.7407410144805908,1980-06-19
1.6851849555969238,1980-06-20
1.6666669845581055,1980-06-23
1.6296299695968628,1980-06-24
1.611111044883728,1980-06-25
